;name;overall;УИК №1122;УИК №1123;УИК №1124;УИК №1125;УИК №1126;УИК №1127;УИК №1128;УИК №1129;УИК №1130;УИК №1131
14;Белихина Ольга Сергеевна;191.0;18;27;19;24;19;1;21;24;15;23
15;Белов Даниил Романович;119.0;13;16;10;18;11;3;9;5;18;16
16;Бубнова Нина Викторовна;1494.0;162;163;163;137;164;36;124;144;206;195
17;Букреев Виктор Васильевич;176.0;17;18;24;13;17;3;15;20;20;29
18;Быковский Егор Владимирович;490.0;38;79;37;64;33;13;38;68;65;55
19;Варданян Овик Торгомович;101.0;7;17;13;12;6;2;8;8;11;17
20;Воронина Татьяна Васильевна;1547.0;178;177;169;150;160;37;137;157;201;181
21;Вторушина Александра Александровна;216.0;25;25;26;34;24;1;8;22;24;27
22;Горохов Александр Викторович;244.0;21;30;23;37;24;1;23;26;30;29
23;Зотова Ольга Викторовна;1553.0;209;190;166;147;149;37;122;136;227;170
24;Исякаев Тимур Марсович;324.0;30;33;27;40;29;3;36;26;60;40
25;Кагирова Гузялия Фатеховна;105.0;16;14;10;19;14;0;5;8;7;12
26;Кузнецов Юрий Сергеевич;145.0;11;22;14;12;12;1;23;18;21;11
27;Ларина Татьяна Владимировна;211.0;22;28;21;22;13;5;21;21;29;29
28;Лихачев Илья Вячеславович;734.0;56;86;99;76;75;4;65;67;124;82
29;Лихачева Ирина Владимировна;576.0;29;62;82;65;57;7;48;47;108;71
30;Мельников Ярослав Дмитриевич;590.0;40;68;48;62;44;13;45;102;86;82
31;Старшинова Елена Валериевна;244.0;17;37;26;18;24;5;38;29;30;20
32;Федотов Михаил Ильич;528.0;36;56;60;74;52;6;43;49;86;66
33;Шилин Михаил Алексеевич;1490.0;164;168;166;149;158;40;129;149;201;166
34;Юдин Олег Станиславович;1411.0;163;154;159;132;152;40;125;129;196;161
