;name;overall;УИК №1133;УИК №1134;УИК №1135;УИК №1136;УИК №1137;УИК №1138;УИК №1139;УИК №1140;УИК №1141
14;Борисова Наталия Арнольдовна;1471.0;174;111;172;151;176;191;155;183;158
15;Бородако Виктор Владимирович;384.0;54;55;25;29;42;37;36;50;56
16;Виноградова Светлана Сергеевна;1617.0;172;145;177;158;198;214;166;207;180
17;Володичев Андрей Александрович;460.0;58;51;29;46;42;61;43;71;59
18;Губайдулин Эльмир Фаатович;392.0;36;48;31;40;45;53;56;42;41
19;Добуляк Людмила Михайловна;1561.0;185;145;182;145;194;211;154;185;160
20;Завьялов Михаил Михайлович;125.0;17;7;16;13;12;21;13;15;11
21;Клочкова Маргарита Сергеевна;452.0;55;59;30;49;45;51;72;47;44
22;Ломоносова Людмила Михайловна;404.0;49;64;20;37;42;50;37;44;61
23;Мальцева Екатерина Викторовна;323.0;42;42;21;23;34;52;31;44;34
24;Мурзаева Наталья Сергеевна;303.0;40;47;27;35;39;39;20;30;26
25;Петухова Елена Петровна;120.0;13;12;10;9;11;20;15;17;13
26;Попов Ярослав Юрьевич;177.0;21;15;17;21;18;18;21;20;26
27;Рубцова Лидия Петровна;1259.0;152;108;147;127;151;162;128;153;131
28;Сарычихин Алексей Анатольевич;223.0;26;26;16;23;32;29;26;27;18
29;Смирнов Андрей Борисович;1318.0;156;116;142;121;167;174;144;158;140
30;Субботин Владимир Владимирович;112.0;11;16;12;13;15;10;10;17;8
31;Фарафонов Анатолий Анатольевич;149.0;33;18;13;14;10;13;14;20;14
32;Чурикова Людмила Александровна;185.0;30;35;13;22;15;18;17;17;18
33;Шатилов Сергей Геннадьевич;153.0;21;16;14;20;16;24;11;21;10
34;Шишкевич Дмитрий Владимирович;511.0;57;68;37;57;47;55;74;52;64
