;name;overall;УИК №2292;УИК №2293;УИК №2294;УИК №2295;УИК №2296;УИК №2297;УИК №2298;УИК №2299;УИК №2300;УИК №2301;УИК №2302
14;Алиева Сабина Ага Меликовна;233.0;14;19;20;9;33;27;12;23;20;25;31
15;Антипов Андрей Александрович;850.0;67;59;50;34;118;80;47;80;81;128;106
16;Буфетова Зинаида Михайловна;1324.0;115;119;100;43;110;105;104;120;137;179;192
17;Давыдова Александра Владимировна;508.0;36;37;34;14;72;65;18;56;38;70;68
18;Данилов Илья Игоревич;168.0;19;19;6;8;26;14;9;8;18;12;29
19;Желонкина Наталья Владимировна;175.0;15;11;8;5;19;13;14;27;20;21;22
20;Жуков Виктор Иванович;1292.0;118;129;100;49;85;100;97;111;134;186;183
21;Зарубина Валентина Владимировна;1199.0;106;118;100;38;82;94;86;101;123;186;165
22;Зотин Александр Вадимович;472.0;42;36;23;13;57;60;44;35;40;57;65
23;Крылов Борис Анатольевич;258.0;15;18;14;6;36;36;17;32;31;21;32
24;Луппов Сергей Геннадьевич;105.0;8;14;3;7;17;9;12;2;6;14;13
25;Набатчикова Лариса Алексеевна;347.0;27;28;17;15;39;43;35;28;35;43;37
26;Неменов Александр Наумович;524.0;37;32;27;27;61;63;54;47;35;76;65
27;Плотников Игорь Владимирович;163.0;19;26;4;12;23;11;7;9;12;19;21
28;Попов Александр Викторович;950.0;71;70;56;49;119;99;60;84;93;132;117
29;Реус Дмитрий Дмитриевич;241.0;29;21;16;9;25;35;14;30;18;29;15
30;Сахарова Ирина Николаевна;1268.0;102;113;91;40;84;89;108;109;134;213;185
31;Сидельникова Ольга Сергеевна;1012.0;77;87;60;53;131;99;68;76;102;134;125
32;Сметлев Василий Сергеевич;1208.0;144;160;109;62;79;75;89;84;108;157;141
33;Сухов Дмитрий Николаевич;742.0;48;47;44;37;96;72;46;58;90;108;96
34;Федосеева Татьяна Леонидовна;1071.0;74;71;57;45;142;117;106;105;100;120;134
