;parameter;overall;УИК №2292;УИК №2293;УИК №2294;УИК №2295;УИК №2296;УИК №2297;УИК №2298;УИК №2299;УИК №2300;УИК №2301;УИК №2302
1;Число избирателей, внесенных в список;21831.0;2003;2112;1720;933;2333;2039;1489;2065;2131;2633;2373
2;Число бюллетеней, полученных участковой комиссией;15400.0;1400;1500;1200;650;1650;1450;1050;1450;1500;1850;1700
3;Число бюллетеней, выданных избирателям в помещении для голосования;3186.0;279;297;212;132;358;283;252;269;287;399;418
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;69.0;4;5;1;1;4;6;3;10;9;12;14
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;243.0;11;27;18;5;14;26;13;17;43;35;34
6;Число погашенных бюллетеней;11971.0;1110;1176;970;513;1278;1141;785;1164;1170;1416;1248
7;Число бюллетеней в переносных ящиках для голосования;243.0;11;27;18;5;14;26;13;17;43;35;34
8;Число бюллетеней в стационарных ящиках для голосования;3246.0;282;301;213;133;362;289;255;279;296;411;425
9;Число недействительных бюллетеней;85.0;10;12;5;3;10;7;5;6;10;9;8
10;Число действительных бюллетеней;3404.0;283;316;226;135;366;308;263;290;329;437;451
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0;0;0
