;name;overall;УИК №2303;УИК №2304;УИК №2305;УИК №2306;УИК №2307;УИК №2308;УИК №2309;УИК №2310;УИК №2311;УИК №2312;УИК №2313;УИК №2314
14;Авалян Гор Арменович;93.0;11;3;4;17;28;8;2;0;0;8;9;3
15;Андреев Сергей Валерьевич;1327.0;88;84;56;109;200;144;139;8;6;189;192;112
16;Андреенко Петр Михайлович;381.0;34;32;29;47;44;34;26;1;3;54;45;32
17;Ветин Антон Николаевич;137.0;9;11;6;18;28;11;11;2;1;13;19;8
18;Гераськин Алексей Васильевич;243.0;23;14;21;21;42;22;12;1;0;37;25;25
19;Держовский Илья Витальевич;191.0;16;17;5;15;25;22;8;2;1;31;24;25
20;Евсенина Елена Валентиновна;1325.0;82;88;59;102;208;143;139;7;4;180;201;112
21;Коновалов Роман Константинович;1014.0;77;102;79;119;114;118;82;14;5;131;139;34
22;Лепский Тимур Александрович;877.0;70;99;62;105;90;104;75;10;5;113;113;31
23;Мансуров Николай Андреевич;1504.0;91;82;66;115;260;195;154;10;6;201;215;109
24;Мущинкин Александр Владимирович;900.0;59;90;64;105;117;119;67;14;9;105;124;27
25;Норенко Елена Ивановна;1338.0;80;79;48;92;166;133;127;6;5;218;266;118
26;Овчинников Александр Анатольевич;247.0;21;17;12;24;39;22;14;3;0;39;32;24
27;Романов Владимир Афанасьевич;1371.0;88;68;60;97;191;129;116;8;3;196;204;211
28;Рябов Иван Александрович;125.0;9;5;4;10;28;11;6;0;0;21;23;8
29;Самойленко Валентина Михайловна;407.0;30;16;20;26;42;28;14;2;0;42;33;154
30;Смекалов Леонид Валентинович;190.0;18;11;9;29;17;14;7;3;0;34;26;22
31;Строганова Валерия Валерьевна;903.0;84;91;81;106;113;114;73;13;9;106;86;27
32;Сухманский Вадим Сергеевич;255.0;20;15;16;28;33;26;11;2;0;38;33;33
33;Теперин Виталий Анатольевич;197.0;21;13;16;24;28;15;12;2;1;29;27;9
34;Титов Анатолий Игоревич;897.0;69;86;58;95;137;142;69;8;7;99;101;26
35;Цыба Алексей Николаевич;137.0;19;11;5;17;22;6;9;2;0;16;21;9
36;Шаляпин Сергей Николаевич;306.0;24;18;22;40;38;28;20;1;0;50;36;29
37;Юрий Сергей Константинович;158.0;16;9;6;15;29;10;11;2;1;23;25;11
38;Якутина Фатима Алиевна;198.0;16;9;5;19;23;14;12;2;1;19;23;55
