;name;overall;УИК №1919;УИК №1920;УИК №1923;УИК №1924;УИК №1925;УИК №1926;УИК №1927;УИК №1928;УИК №1929;УИК №1930
14;Белкина Анна Яковлевна;1064.0;80;88;76;80;164;85;141;133;141;76
15;Вдовин Игорь Евгеньевич;693.0;103;140;80;48;28;41;72;62;63;56
16;Донченко Мария Анатольевна;297.0;39;32;38;25;18;23;39;32;21;30
17;Заплатникова Людмила Викторовна;1105.0;94;110;75;90;113;79;155;149;149;91
18;Климов Евгений Юрьевич;327.0;47;44;32;24;16;22;45;41;22;34
19;Лапин Юрий Ерминингельдович;649.0;75;119;81;63;45;27;72;55;69;43
20;Леденев Василий Юрьевич;219.0;31;28;23;23;17;17;33;22;25;0
21;Мащенко Мария Александровна;448.0;55;46;51;35;44;33;59;46;39;40
22;Петрова Наталия Ивановна;1284.0;105;138;79;97;150;81;177;162;189;106
23;Седова Наталья Николаевна;1088.0;93;122;63;81;114;73;163;138;156;85
24;Сусорева Ксения Николаевна;962.0;74;81;56;71;103;65;145;140;146;81
25;Урсу Юрий Андреевич;817.0;129;110;105;78;54;41;90;80;62;68
26;Халтурин Евгений Евгеньевич;143.0;28;22;12;16;9;10;12;12;11;11
27;Харченко Надежда Дмитриевна;687.0;81;256;94;49;32;22;42;46;32;33
28;Чекашкин Олег Сергеевич;325.0;39;37;49;35;27;16;43;37;14;28
29;Щепетова Кира Александровна;391.0;66;62;52;34;21;17;45;44;29;21
30;Щербакова Ольга Александровна;255.0;42;36;22;28;20;9;33;25;25;15
