;name;overall;УИК №1949;УИК №1950;УИК №1951;УИК №1952;УИК №1953;УИК №1954;УИК №1956;УИК №1957;УИК №1958;УИК №1959;УИК №1960;УИК №1961
14;Александрова Светлана Валериановна;386.0;32;27;31;32;34;38;24;34;51;35;31;17
15;Архипов Виталий Филиппович;319.0;28;26;26;43;27;18;18;16;52;36;13;16
16;Балашов Василий Евгеньевич;358.0;34;35;31;36;33;25;18;20;30;39;25;32
17;Данилкина Татьяна Дмитровна;1913.0;125;155;213;173;169;137;132;149;165;198;150;147
18;Демченков Максим Леонидович;1568.0;122;135;208;154;132;90;124;128;114;130;100;131
19;Ермилова Ксения Владимировна;722.0;66;69;75;40;44;85;43;49;59;77;59;56
20;Капустин Александр Николаевич;199.0;22;21;18;26;16;13;12;7;22;14;16;12
21;Колгатина Татьяна Викторовна;306.0;21;37;34;39;22;25;15;17;26;31;23;16
22;Кольцов Алексей Анатольевич;350.0;32;42;30;42;23;22;21;23;24;28;24;39
23;Коровин Сергей Николаевич;313.0;18;42;32;29;35;17;16;17;25;33;29;20
24;Кушнарева Надежда Ефимовна;284.0;28;29;28;19;26;26;14;20;26;27;21;20
25;Лебедевич Вадим Сергеевич;849.0;83;85;75;42;47;90;48;44;79;98;95;63
26;Лобанов Дмитрий Викторович;446.0;51;49;43;42;37;35;25;26;47;25;40;26
27;Лутцева Ирина Геннадиевна;218.0;18;34;16;24;14;11;14;9;36;17;12;13
28;Низамов Владимир Валерьевич;376.0;38;40;39;47;32;25;18;23;17;41;24;32
29;Новикова Наталья Андреевна;667.0;64;64;67;39;44;71;45;39;54;70;58;52
30;Орлов Дмитрий Валерьевич;796.0;61;82;74;45;52;80;51;59;72;85;71;64
31;Пронько Николай Александрович;1655.0;121;143;188;163;150;113;124;125;130;154;119;125
32;Родионов Андрей Викторович;1591.0;123;145;197;159;133;109;114;118;115;134;116;128
33;Романов Василий Юрьевич;1566.0;115;132;188;150;142;102;113;116;124;140;113;131
34;Сергиевский Евгений Станиславович;169.0;15;12;16;20;12;13;9;8;16;18;15;15
35;Смолянинова Юлия Сергеевна;463.0;34;46;53;37;35;39;22;36;46;52;25;38
36;Терехов Александр Валерьевич;325.0;27;44;42;36;22;21;17;16;19;30;16;35
37;Штырев Михаил Михайлович;252.0;23;24;27;30;22;22;12;17;12;19;12;32
38;Щербакова Ольга Александровна;225.0;15;32;22;34;22;11;9;14;22;12;18;14
39;Яковлева Тамара Владимировна;381.0;39;41;28;41;33;29;18;30;31;33;38;20
