;parameter;overall;УИК №1962;УИК №1963;УИК №1964;УИК №1965;УИК №1966;УИК №1968;УИК №1969;УИК №1970;УИК №1971;УИК №1972;УИК №1973;УИК №1974
1;Число избирателей, внесенных в список;28788.0;2378;2410;2012;2255;2078;2425;2617;2153;2712;2557;2505;2686
2;Число бюллетеней, полученных участковой комиссией;20450.0;1700;1700;1450;1600;1500;1700;1850;1550;1900;1800;1800;1900
3;Число бюллетеней, выданных избирателям в помещении для голосования;3442.0;256;311;257;287;245;230;334;292;354;307;306;263
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;12.0;1;0;0;1;0;2;0;1;1;2;3;1
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;174.0;12;8;20;19;18;18;10;13;11;33;3;9
6;Число погашенных бюллетеней;16834.0;1432;1381;1173;1294;1237;1452;1506;1245;1535;1460;1491;1628
7;Число бюллетеней в переносных ящиках для голосования;173.0;12;8;20;19;18;17;10;13;11;33;3;9
8;Число бюллетеней в стационарных ящиках для голосования;3440.0;256;311;257;288;245;232;334;292;344;309;309;263
9;Число недействительных бюллетеней;147.0;9;9;9;14;8;15;16;14;14;9;17;13
10;Число действительных бюллетеней;3466.0;259;310;268;293;255;234;328;291;341;333;295;259
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0;0;0;0
