;name;overall;УИК №670;УИК №671;УИК №672;УИК №673;УИК №674;УИК №676;УИК №679
14;Абдуряхимова Эльвира Булатовна;135.0;18;19;12;17;7;7;55
15;Бармин Роберт Валентинович;207.0;21;28;26;58;18;14;42
16;Бикбаев Булат Эхтемович;296.0;64;21;36;85;9;18;63
17;Бобырин Олег Анатольевич;380.0;95;35;49;89;11;20;81
18;Грач Денис Евгеньевич;432.0;66;40;65;87;15;26;133
19;Гусева Ольга Васильевна;99.0;16;16;19;19;8;3;18
20;Егоров Евгений Петрович;104.0;12;25;14;28;6;5;14
21;Замышляев Максим Александрович;69.0;10;14;7;13;2;4;19
22;Кезин Михаил Сергеевич;972.0;145;182;127;203;151;27;137
23;Киракозов Владимир Юрьевич;156.0;21;45;24;22;15;9;20
24;Кириков Павел Дмитриевич;861.0;138;140;125;152;150;20;136
25;Кунаков Кирилл Олегович;882.0;127;151;120;169;188;18;109
26;Лисицын Никита Сергеевич;58.0;7;1;12;11;9;3;15
27;Лукьянова Алла Юрьевна;349.0;87;76;57;70;26;13;20
28;Лушкин Александр Иванович;167.0;20;29;21;22;20;8;47
29;Михайлов Андрей Васильевич;133.0;15;28;29;21;8;3;29
30;Орехов Андрей Семенович;173.0;17;15;30;54;19;10;28
31;Прохоров Иван Константинович;192.0;42;61;22;37;13;3;14
32;Солдатов Иван Юрьевич;71.0;9;11;15;7;11;2;16
33;Стрельцов Владимир Вячеславович;400.0;39;74;83;84;38;9;73
34;Тарасов Игорь Александрович;293.0;65;22;39;75;12;16;64
35;Федюнина Нина Николаевна;777.0;139;161;81;149;138;18;91
36;Цымбал Владимир Александрович;68.0;7;13;9;16;2;3;18
37;Шнейд-Миллер Лита Константиновна;59.0;7;8;10;13;3;0;18
