;name;overall;УИК №675;УИК №680;УИК №684;УИК №685;УИК №686;УИК №687
14;Александров Николай Александрович;790.0;128;83;126;248;115;90
15;Артюхина Наталья Витальевна;499.0;40;61;46;138;139;75
16;Бейманкова Анастасия Геннадьевна;99.0;18;10;11;25;20;15
17;Борисов Вячеслав Юрьевич;687.0;173;108;86;150;92;78
18;Глотов Сергей Александрович;165.0;24;17;10;26;21;67
19;Горбунов Алексей Юрьевич;243.0;32;20;32;56;35;68
20;Егозина Валентина Ивановна;151.0;29;27;16;27;29;23
21;Живитченко Геннадий Анатольевич;401.0;28;59;39;105;107;63
22;Загородникова Галина Николаевна;583.0;44;42;78;161;160;98
23;Карпушин Виктор Викторович;595.0;128;68;105;158;79;57
24;Комаров Михаил Никонорович;185.0;29;15;24;37;51;29
25;Костоев Адам Ибрагимович;401.0;56;41;41;52;77;134
26;Литовченко Марк Валерьевич;215.0;29;23;39;29;43;52
27;Морозов Алексей Степанович;68.0;8;6;5;21;21;7
28;Пенизова Анастасия Валерьевна;71.0;11;7;10;17;9;17
29;Петров Владимир Викторович;358.0;22;33;58;96;92;57
30;Рыбин Евгений Евгеньевич;231.0;18;26;78;39;41;29
31;Смирнов Петр Андреевич;84.0;17;10;10;21;16;10
32;Сучков Константин Евгеньевич;142.0;21;18;28;28;26;21
33;Тишкова Раиса Сергеевна;155.0;21;23;21;34;32;24
34;Хамидулин Эрик Артурович;39.0;6;5;5;8;8;7
35;Цукасов Сергей Сергеевич;747.0;148;118;117;181;105;78
36;Чигвинцева Ольга Викторовна;279.0;41;32;25;36;24;121
37;Чупров Антон Борисович;152.0;27;22;21;32;26;24
38;Янковой Никита Леонидович;442.0;66;54;62;129;71;60
