;parameter;overall;УИК №675;УИК №680;УИК №684;УИК №685;УИК №686;УИК №687
1;Число избирателей, внесенных в список;11542.0;1792;1622;1849;2084;2212;1983
2;Число бюллетеней, полученных участковой комиссией;7900.0;1200;1100;1300;1400;1500;1400
3;Число бюллетеней, выданных избирателям в помещении для голосования;2324.0;327;281;330;532;423;431
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;33.0;2;11;4;6;5;5
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;76.0;8;20;9;21;6;12
6;Число погашенных бюллетеней;5500.0;865;799;961;847;1071;957
7;Число бюллетеней в переносных ящиках для голосования;76.0;8;20;9;21;6;12
8;Число бюллетеней в стационарных ящиках для голосования;2346.0;319;292;334;537;428;436
9;Число недействительных бюллетеней;67.0;0;14;13;20;10;10
10;Число действительных бюллетеней;2355.0;327;298;330;538;424;438
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0
