;parameter;overall;УИК №688;УИК №689;УИК №690;УИК №691;УИК №692;УИК №693;УИК №694;УИК №698;УИК №699;УИК №738
1;Число избирателей, внесенных в список;20822.0;1716;1805;1945;2273;2405;2482;2721;2228;2791;456
2;Число бюллетеней, полученных участковой комиссией;14680.0;1210;1270;1370;1600;1700;1750;1920;1580;1960;320
3;Число бюллетеней, выданных избирателям в помещении для голосования;2973.0;191;224;262;273;357;438;441;315;429;43
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;25.0;2;3;1;2;2;12;1;0;2;0
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;107.0;2;0;16;14;16;17;12;12;10;8
6;Число погашенных бюллетеней;11600.0;1017;1046;1092;1313;1327;1295;1467;1253;1521;269
7;Число бюллетеней в переносных ящиках для голосования;107.0;2;0;16;14;16;17;12;12;10;8
8;Число бюллетеней в стационарных ящиках для голосования;2984.0;192;227;263;275;359;450;429;315;431;43
9;Число недействительных бюллетеней;72.0;7;7;4;8;9;8;9;9;9;2
10;Число действительных бюллетеней;3019.0;187;220;275;281;366;459;432;318;432;49
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0;0
