;name;overall;УИК №700;УИК №703;УИК №704;УИК №705;УИК №706;УИК №707;УИК №709;УИК №711;УИК №739;УИК №740
14;Бараева Ольга Викторовна;859.0;116;143;83;64;86;116;91;128;16;16
15;Батурина Светлана Борисовна;419.0;59;66;37;47;40;36;59;64;5;6
16;Боровский Руслан Александрович;841.0;63;74;99;279;80;59;71;87;14;15
17;Буланова Анна Константиновна;759.0;101;133;75;51;75;103;79;107;17;18
18;Калинина Галина Игоревна;599.0;37;29;85;287;43;20;40;37;6;15
19;Калинина Марина Александровна;201.0;18;14;24;45;20;30;15;27;3;5
20;Калошина Марина Николаевна;303.0;41;34;31;32;31;33;40;52;4;5
21;Кузнецов Дмитрий Алексеевич;672.0;90;115;59;43;73;91;69;112;11;9
22;Кузнецова Елена Владимировна;267.0;25;43;21;31;30;23;44;44;0;6
23;Лобанов Сергей Александрович;161.0;23;24;14;16;24;12;19;22;2;5
24;Максимов Дмитрий Михайлович;312.0;38;40;35;34;41;25;50;36;9;4
25;Момджян Светлана Мкртичевна;74.0;9;9;5;12;9;6;8;15;1;0
26;Потапова Людмила Юрьевна;102.0;21;9;14;15;5;9;12;11;1;5
27;Сазонова Зинаида Асатуровна;237.0;17;20;18;12;26;70;23;38;6;7
28;Сафронов Александр Михайлович;180.0;26;16;16;24;15;13;23;41;2;4
29;Соломин Виктор Петрович;131.0;22;17;24;10;14;9;17;17;1;0
30;Шибаев Кирилл Вячеславович;562.0;35;28;71;296;29;21;27;31;8;16
