;name;overall;УИК №695;УИК №696;УИК №697;УИК №701;УИК №702;УИК №708;УИК №710;УИК №712
14;Башанкаев Андрей Давидович;95.0;13;6;15;12;13;10;10;16
15;Голубев Максим Рустамович;84.0;8;5;8;15;12;14;9;13
16;Горюшкина Елена Ивановна;1123.0;146;154;97;161;167;137;115;146
17;Князева Марина Анатольевна;344.0;77;48;33;44;41;35;35;31
18;Косушкин Александр Геннадьевич;323.0;42;42;48;44;38;36;28;45
19;Кузнецов Александр Юрьевич;346.0;73;41;47;41;44;29;32;39
20;Молчанов Никита Александрович;130.0;17;18;11;15;22;14;19;14
21;Невский Михаил Александрович;173.0;15;19;20;27;30;19;16;27
22;Носкова Елена Александровна;933.0;117;140;79;118;134;115;113;117
23;Ползунов Михаил Александрович;278.0;40;45;34;39;37;33;21;29
24;Смолякова Светлана Николаевна;925.0;113;124;87;117;142;97;119;126
25;Торопов Илья Борисович;165.0;19;12;24;24;18;20;24;24
26;Хижняк Ольга Владимировна;240.0;26;26;82;26;13;20;25;22
27;Цыганков Сергей Леонтьевич;399.0;33;35;185;31;31;34;22;28
28;Чупраков Руслан Азамович;208.0;20;31;16;27;41;27;25;21
29;Шестаков Александр Александрович;319.0;64;43;40;37;35;36;30;34
