;name;overall;УИК №713;УИК №714;УИК №715;УИК №716;УИК №717;УИК №718;УИК №719;УИК №720;УИК №721
14;Вельмакин Михаил Вадимович;771.0;72;101;93;104;92;89;90;51;79
15;Волков Александр Гаврилович;280.0;24;25;26;23;21;26;67;50;18
16;Денисова Марина Сергеевна;1120.0;147;123;137;110;112;96;182;116;97
17;Енютин Артем Сергеевич;279.0;29;29;47;26;43;22;35;19;29
18;Коваленко Марина Петровна;416.0;29;42;56;67;44;33;58;40;47
19;Кузнецова Татьяна Сергеевна;929.0;84;100;106;92;99;85;139;127;97
20;Лутавин Евгений Андреевич;128.0;16;11;25;22;13;4;12;10;15
21;Максимова Нина Алексеевна;157.0;16;21;29;16;12;11;31;7;14
22;Набатников Илья Владимирович;216.0;15;28;33;22;18;15;40;18;27
23;Столетний Илья Викторович;258.0;22;38;34;42;25;16;34;19;28
24;Тульских Вячеслав Дмитриевич;630.0;68;58;72;56;68;53;137;56;62
25;Фролов Андрей Александрович;243.0;16;28;33;31;26;20;52;14;23
26;Чурикова Людмила Николаевна;500.0;36;52;52;61;55;56;59;77;52
27;Шарков Ярослав Владимирович;218.0;19;29;23;29;20;18;42;23;15
28;Шахов Александр Петрович;639.0;41;81;74;123;76;50;66;66;62
