;parameter;overall;УИК №713;УИК №714;УИК №715;УИК №716;УИК №717;УИК №718;УИК №719;УИК №720;УИК №721
1;Число избирателей, внесенных в список;20439.0;2104;2683;2379;2315;2279;1743;2448;2530;1958
2;Число бюллетеней, полученных участковой комиссией;14440.0;1490;1890;1680;1640;1610;1230;1730;1790;1380
3;Число бюллетеней, выданных избирателям в помещении для голосования;2824.0;275;319;333;317;307;260;433;313;267
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;16.0;1;1;2;1;3;2;0;5;1
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;120.0;11;4;19;21;19;5;14;13;14
6;Число погашенных бюллетеней;11496.0;1204;1567;1328;1302;1284;965;1283;1464;1099
7;Число бюллетеней в переносных ящиках для голосования;120.0;11;4;19;21;19;5;14;13;14
8;Число бюллетеней в стационарных ящиках для голосования;2812.0;275;320;314;317;310;259;431;318;268
9;Число недействительных бюллетеней;113.0;8;13;16;11;12;8;21;14;10
10;Число действительных бюллетеней;2819.0;278;311;317;327;317;256;424;317;272
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0
