;parameter;overall;УИК №730;УИК №731;УИК №732;УИК №733;УИК №734;УИК №735;УИК №736;УИК №737
1;Число избирателей, внесенных в список;20178.0;2191;2657;2672;2353;2333;2539;2797;2636
2;Число бюллетеней, полученных участковой комиссией;14250.0;1550;1880;1880;1660;1650;1790;1970;1870
3;Число бюллетеней, выданных избирателям в помещении для голосования;2282.0;249;334;245;286;261;244;381;282
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;22.0;2;1;4;3;0;2;4;6
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;127.0;16;6;17;3;12;18;43;12
6;Число погашенных бюллетеней;11841.0;1285;1540;1618;1371;1377;1528;1546;1576
7;Число бюллетеней в переносных ящиках для голосования;127.0;16;6;17;3;12;18;43;12
8;Число бюллетеней в стационарных ящиках для голосования;2302.0;249;335;249;289;261;246;385;288
9;Число недействительных бюллетеней;63.0;12;5;8;11;5;3;10;9
10;Число действительных бюллетеней;2366.0;253;336;258;281;268;261;418;291
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0
