;parameter;overall;УИК №2703;УИК №2704;УИК №2705;УИК №2706;УИК №2707;УИК №2708;УИК №2709;УИК №2710;УИК №2711;УИК №2712;УИК №2713;УИК №2714;УИК №2716;УИК №2717;УИК №2718
1;Число избирателей, внесенных в список;33759.0;911;3091;2137;2195;2679;2113;2268;2402;2168;2085;2661;2249;2106;2262;2432
2;Число бюллетеней, полученных участковой комиссией;24000.0;650;2200;1500;1550;1900;1500;1600;1700;1550;1500;1900;1600;1500;1600;1750
3;Число бюллетеней, выданных избирателям в помещении для голосования;4018.0;339;351;196;210;259;289;281;232;257;280;350;310;231;268;165
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;14.0;0;2;0;1;3;0;1;0;2;2;0;2;1;0;0
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;370.0;77;21;14;18;22;22;24;22;21;33;27;32;15;19;3
6;Число погашенных бюллетеней;19609.0;234;1828;1290;1322;1619;1189;1295;1446;1272;1184;1523;1258;1254;1313;1582
7;Число бюллетеней в переносных ящиках для голосования;370.0;77;21;14;18;22;22;24;22;21;33;27;32;15;19;3
8;Число бюллетеней в стационарных ящиках для голосования;4008.0;339;344;196;211;259;288;281;232;257;277;350;309;232;268;165
9;Число недействительных бюллетеней;139.0;14;17;5;5;8;14;5;6;10;4;13;13;9;10;6
10;Число действительных бюллетеней;4239.0;402;348;205;224;273;296;300;248;268;306;364;328;238;277;162
11;Число утраченных бюллетеней;3.0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
