;name;overall;УИК №1160;УИК №1161;УИК №1162;УИК №1163;УИК №1164;УИК №1165;УИК №1166;УИК №1175;УИК №1176;УИК №1177;УИК №1178;УИК №1183;УИК №1186
14;Абакумов Олег Александрович;280.0;29;34;28;22;18;3;27;23;18;21;28;11;18
15;Гусев Алексей Владимирович;230.0;25;15;26;14;23;0;20;20;14;19;16;17;21
16;Долгих Марк Витальевич;241.0;24;14;24;16;33;0;34;27;14;12;18;11;14
17;Ерохов Илья Николаевич;280.0;25;33;26;29;20;2;23;24;10;18;22;27;21
18;Ерхова Светлана Викторовна;210.0;23;16;20;13;18;2;19;17;13;13;14;15;27
19;Зимин Павел Игоревич;957.0;93;97;59;56;67;5;78;105;76;80;88;70;83
20;Зотов Николай Борисович;776.0;61;65;49;50;54;2;64;91;62;69;75;66;68
21;Киселёва Наталья Викторовна;265.0;18;24;17;17;14;2;29;26;38;10;23;29;18
22;Коженков Лев Владиславович;238.0;25;20;23;20;21;3;21;13;19;22;25;2;24
23;Козленко Григорий Борисович;820.0;92;71;53;39;64;3;68;96;69;66;67;58;74
24;Кряжевская Ираида Сергеевна;727.0;67;69;36;53;42;1;59;80;63;67;64;63;63
25;Кучин Андрей Геннадьевич;369.0;39;20;34;32;28;2;35;28;23;19;46;28;35
26;Лазовская Екатерина Германовна;821.0;79;72;45;57;60;5;81;75;75;72;76;50;74
27;Лосев Владимир Михайлович;722.0;65;47;60;51;62;2;76;79;60;50;49;77;44
28;Луканова Лариса Александровна;230.0;22;51;18;16;14;2;17;15;20;8;16;9;22
29;Любомищенко Юрий Кимович;137.0;14;16;11;13;9;1;8;9;9;9;9;6;23
30;Макаров Владислав Вячеславович;528.0;50;27;37;50;51;4;33;35;35;47;71;57;31
31;Медведков Андрей Александрович;269.0;29;70;19;12;19;1;24;20;24;16;11;16;8
32;Михеев Сергей Евгеньевич;169.0;23;13;22;12;17;0;12;17;8;13;12;8;12
33;Мурадова Елена Самвеловна;629.0;58;45;44;51;45;1;83;66;40;31;47;71;47
34;Образцова Татьяна Николаевна;605.0;68;43;42;44;51;3;36;35;43;52;81;70;37
35;Петров Михаил Владимирович;763.0;66;40;61;63;80;3;79;78;64;52;52;78;47
36;Пилипьева Мария Олеговна;100.0;10;13;5;9;8;0;5;8;6;4;17;9;6
37;Плаксина Мария Сергеевна;344.0;31;23;22;34;33;1;34;24;19;16;46;30;31
38;Пчельникова Ульяна Ильинична;186.0;13;20;15;19;14;3;15;13;10;14;18;14;18
39;Славинская Елена Александровна;875.0;79;54;61;79;67;3;89;87;63;57;79;94;63
40;Соловьев Вячеслав Анатольевич;618.0;55;43;49;46;59;2;74;64;43;33;55;60;35
41;Сячин Алексей Валерьевич;125.0;9;17;13;13;9;1;10;13;5;5;9;9;12
