;parameter;overall;УИК №1554;УИК №1555;УИК №1556;УИК №1557;УИК №1558;УИК №1559;УИК №1566;УИК №1567;УИК №1568
1;Число избирателей, внесенных в список;18413.0;2412;2175;2209;1836;2482;1563;1413;2243;2080
2;Число бюллетеней, полученных участковой комиссией;13200.0;1700;1600;1600;1300;1800;1100;1000;1600;1500
3;Число бюллетеней, выданных избирателям в помещении для голосования;3037.0;357;370;320;302;418;284;226;391;369
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;13.0;0;0;0;0;0;0;0;7;6
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;263.0;45;44;43;20;43;24;10;14;20
6;Число погашенных бюллетеней;9900.0;1298;1186;1237;978;1339;792;764;1195;1111
7;Число бюллетеней в переносных ящиках для голосования;262.0;45;44;43;20;42;24;10;14;20
8;Число бюллетеней в стационарных ящиках для голосования;3043.0;357;370;319;302;412;284;226;398;375
9;Число недействительных бюллетеней;109.0;14;14;17;9;10;13;8;7;17
10;Число действительных бюллетеней;3196.0;388;400;345;313;444;295;228;405;378
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0
