;name;overall;УИК №1562;УИК №1564;УИК №1565;УИК №1569;УИК №1570;УИК №1571;УИК №1572;УИК №1573
14;Акимов Николай Юрьевич;1317.0;146;117;115;177;75;132;284;271
15;Аксененко Виктория Петровна;300.0;43;55;33;44;13;33;44;35
16;Ананьев Олег Вячеславович;991.0;172;100;108;141;58;112;162;138
17;Балашов Степан Александрович;187.0;25;26;19;33;10;22;23;29
18;Власов Александр Витальевич;603.0;95;126;83;83;53;60;55;48
19;Высоцкий Иван Владимирович;876.0;119;96;93;148;57;98;150;115
20;Гапенко Александр Васильевич;182.0;26;32;18;22;16;21;21;26
21;Горбачев Андрей Сергеевич;279.0;36;46;33;42;11;25;30;56
22;Иванов Максим Михайлович;381.0;49;61;44;64;23;33;45;62
23;Киселева Людмила Николаевна;351.0;47;67;48;48;23;36;43;39
24;Копылов Александр Григорьевич;227.0;36;37;16;30;13;17;33;45
25;Костюковский Алексей Сергеевич;512.0;71;67;67;70;46;64;44;83
26;Мазуров Андрей Иванович;133.0;17;27;17;19;9;13;15;16
27;Манаевская Елена Вячеславовна;527.0;61;73;64;70;40;45;58;116
28;Мирзоева Алина Давидовна;238.0;37;34;32;28;19;18;22;48
29;Орионов Валентин Валерьевич;120.0;17;17;15;12;9;14;14;22
30;Подольская Елена Дмитриевна;1057.0;139;135;104;154;73;110;181;161
31;Поляков Виктор Леонидович;815.0;101;80;82;131;49;94;146;132
32;Семенова Ольга Александровна;534.0;78;91;60;76;46;47;54;82
33;Сидорова Анастасия Александровна;134.0;17;21;14;15;6;13;19;29
34;Томилов Валентин Михайлович;218.0;29;42;33;27;22;14;19;32
35;Хрипунов Вячеслав Владимирович;352.0;36;46;32;26;22;25;58;107
36;Хрищатая Татьяна Леонидовна;169.0;30;29;13;42;11;25;7;12
