;name;overall;УИК №2970;УИК №2971;УИК №2972;УИК №2974
14;Бухарина Любовь Николаевна;547.0;167;34;179;167
15;Градова Тамара Георгиевна;103.0;30;6;27;40
16;Григорьева Виктория Олеговна;125.0;38;12;43;32
17;Евдокимов Игорь Юрьевич;199.0;64;12;76;47
18;Колесник Сергей Александрович;88.0;43;4;25;16
19;Куклина Марина Федоровна;458.0;141;34;160;123
20;Миронов Михаил Евгеньевич;51.0;23;2;10;16
21;Никифоров Григорий Борисович;492.0;126;19;204;143
22;Сальхов Даниил Олегович;517.0;168;37;187;125
23;Семяновская Екатерина Андреевна;609.0;187;32;251;139
24;Червякова Полина Александровна;410.0;138;27;131;114
25;Черкасов Павел Владимирович;536.0;163;53;169;151
26;Языков Артем Олегович;25.0;9;1;7;8
