;parameter;overall;УИК №2970;УИК №2971;УИК №2972;УИК №2974
1;Число избирателей, внесенных в список;8543.0;2557;425;2659;2902
2;Число бюллетеней, полученных участковой комиссией;6100.0;1800;300;1900;2100
3;Число бюллетеней, выданных избирателям в помещении для голосования;1506.0;454;117;528;407
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;33.0;11;1;14;7
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;76.0;25;0;24;27
6;Число погашенных бюллетеней;4518.0;1321;183;1348;1666
7;Число бюллетеней в переносных ящиках для голосования;76.0;25;0;24;27
8;Число бюллетеней в стационарных ящиках для голосования;1539.0;465;118;542;414
9;Число недействительных бюллетеней;25.0;6;2;10;7
10;Число действительных бюллетеней;1590.0;484;116;556;434
11;Число утраченных бюллетеней;0.0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0
