;name;overall;УИК №1189;УИК №1190;УИК №1191;УИК №1192;УИК №1193;УИК №1194;УИК №1195;УИК №1196;УИК №1197;УИК №1198;УИК №1199;УИК №1200
14;Балмышев Алексей Валерьевич;184.0;25;17;14;15;16;15;16;4;21;13;20;8
15;Балмышева Роза Ахсановна;150.0;16;14;12;11;10;21;11;0;21;8;13;13
16;Бер Илья Леонидович;1355.0;118;95;59;171;200;100;150;22;131;98;105;106
17;Брилёв Александр Александрович;272.0;26;23;10;44;21;19;24;6;28;29;19;23
18;Бушуев Алексей Сергеевич;450.0;37;37;15;56;28;39;39;11;58;57;32;41
19;Волнов Юрий Анатольевич;1261.0;116;80;57;159;165;91;139;19;131;92;107;105
20;Гладышев Вадим Борисович;286.0;16;22;17;36;26;24;34;8;37;27;22;17
21;Давыдов Александр Викторович;312.0;26;32;21;29;28;20;36;8;31;33;28;20
22;Долотихин Юрий Викторович;339.0;22;27;18;41;32;26;31;9;46;38;22;27
23;Иванова Тамара Александровна;337.0;34;42;23;29;34;24;31;7;31;25;28;29
24;Казимиренко Николай Александрович;609.0;118;43;40;46;50;49;59;16;75;39;30;44
25;Киселев Артем Владимирович;1281.0;145;174;159;124;93;84;97;16;116;108;88;77
26;Кобзарь Светлана Николаевна;1182.0;134;166;141;152;117;61;95;9;99;84;67;57
27;Коминова Елена Борисовна;1425.0;138;177;153;153;125;95;111;14;139;120;108;92
28;Конкин Виталий Викторович;818.0;79;63;57;105;126;78;66;8;70;59;53;54
29;Никитин Михаил Владимирович;210.0;15;23;18;19;21;19;12;3;21;16;16;27
30;Пищулин Александр Евгеньевич;932.0;107;143;124;94;76;58;57;8;83;67;68;47
31;Протасов Роман Игоревич;111.0;17;11;7;11;12;14;7;3;7;8;12;2
32;Сафонов Владимир Александрович;1064.0;131;152;130;103;91;64;85;14;88;83;75;48
33;Сидоров Дмитрий Олегович;354.0;35;30;18;41;32;27;34;8;36;24;26;43
34;Соколов Алексей Алексеевич;464.0;33;30;27;61;54;36;48;7;44;42;37;45
35;Степина Виктория Владимировна;451.0;45;37;24;64;45;45;41;8;36;34;33;39
36;Тютюнник Сергей Витальевич;110.0;10;14;13;8;9;12;11;2;8;5;12;6
