;name;overall;УИК №73;УИК №74;УИК №75;УИК №76;УИК №77;УИК №78;УИК №80
14;Асвойнова Марианна Игоревна;221.0;42;37;36;20;28;37;21
15;Байлагасов Алексей Николаевич;42.0;3;2;4;22;2;7;2
16;Балакирев Сергей Ваганович;107.0;13;17;21;25;7;13;11
17;Болтенков Михаил Вячеславович;299.0;29;38;84;30;47;38;33
18;Гордеев Валерий Викторович;252.0;38;48;30;39;23;37;37
19;Гривцова Екатерина Михайловна;138.0;20;19;22;20;14;27;16
20;Денисенко Татьяна Ивановна;580.0;50;141;99;26;102;91;71
21;Кавун Андрей Николаевич;142.0;9;19;28;25;26;22;13
22;Климентьев Станислав Евгеньевич;52.0;7;3;9;21;6;3;3
23;Крячко Ирина Анатольевна;121.0;20;17;22;14;11;16;21
24;Любжин Максим Сергеевич;59.0;10;6;7;13;8;9;6
25;Мазурин Артем Юрьевич;112.0;20;27;17;13;13;11;11
26;Моисеев Алексей Александрович;90.0;14;5;12;26;11;10;12
27;Овчинникова Кристина Николаевна;72.0;8;11;15;20;9;3;6
28;Пальгова Виктория Олеговна;873.0;169;171;162;14;189;95;73
29;Самойлова Наталья Михайловна;431.0;52;72;54;77;48;70;58
30;Сорокина Дарья Николаевна;122.0;16;21;22;25;13;13;12
31;Суходрев Ксения Сергеевна;81.0;10;9;9;16;21;8;8
32;Тихонов Владимир Петрович;173.0;17;30;26;26;12;35;27
33;Ткач Елена Валериевна;695.0;88;106;130;65;121;92;93
34;Туровский Максим Валерьевич;83.0;8;16;26;4;16;4;9
35;Утехин Борис Всеволодович;78.0;11;9;13;15;4;7;19
36;Юшин Анатолий Павлович;1078.0;196;189;193;13;195;155;137
37;Яновицкая Татьяна Павловна;914.0;179;169;147;23;180;114;102
38;Ярханова Надежда Ивановна;541.0;68;89;76;65;72;95;76
