;parameter;overall;УИК №73;УИК №74;УИК №75;УИК №76;УИК №77;УИК №78;УИК №80
1;Число избирателей, внесенных в список;15347.0;2674;2559;2694;647;2578;2311;1884
2;Число бюллетеней, полученных участковой комиссией;10846.0;1868;1782;1877;599;1800;1605;1315
3;Число бюллетеней, выданных избирателям в помещении для голосования;2661.0;376;465;455;265;430;356;314
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;28.0;4;3;7;1;7;3;3
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;124.0;18;28;25;0;13;28;12
6;Число погашенных бюллетеней;8061.0;1474;1289;1397;334;1357;1221;989
7;Число бюллетеней в переносных ящиках для голосования;124.0;18;28;25;0;13;28;12
8;Число бюллетеней в стационарных ящиках для голосования;2677.0;380;468;460;266;429;359;315
9;Число недействительных бюллетеней;49.0;4;9;7;7;8;6;8
10;Число действительных бюллетеней;2752.0;394;487;478;259;434;381;319
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0
