;parameter;overall;УИК №79;УИК №81;УИК №82;УИК №83;УИК №84;УИК №86
1;Число избирателей, внесенных в список;15030.0;2558;2493;2629;2493;2039;2818
2;Число бюллетеней, полученных участковой комиссией;10443.0;1777;1733;1831;1734;1416;1952
3;Число бюллетеней, выданных избирателям в помещении для голосования;2271.0;398;401;393;364;321;394
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;16.0;3;2;3;4;3;1
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;123.0;20;0;27;24;30;22
6;Число погашенных бюллетеней;8049.0;1359;1332;1411;1346;1065;1536
7;Число бюллетеней в переносных ящиках для голосования;123.0;20;0;27;24;30;22
8;Число бюллетеней в стационарных ящиках для голосования;2287.0;401;403;396;368;324;395
9;Число недействительных бюллетеней;34.0;6;6;6;4;6;6
10;Число действительных бюллетеней;2376.0;415;397;417;388;348;411
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0
