;name;overall;УИК №85;УИК №87;УИК №94;УИК №95;УИК №96;УИК №99
14;Аверьянов Андрей Борисович;98.0;15;15;20;14;18;16
15;Акулова Светлана Владимировна;514.0;79;91;87;76;84;97
16;Алексеев Антон Григорьевич;581.0;105;87;92;86;96;115
17;Алхимов Юрий Викторович;159.0;26;32;22;27;26;26
18;Белинский Александр Владимирович;72.0;11;11;7;12;17;14
19;Бортновский Дмитрий Константинович;68.0;10;16;17;11;6;8
20;Гарбуз Денис Александрович;351.0;50;47;40;71;63;80
21;Гладков Иван Юрьевич;366.0;51;134;36;62;33;50
22;Ефимов Виктор Дмитриевич;197.0;35;42;41;21;28;30
23;Курманов Иван Сергеевич;44.0;1;14;8;6;5;10
24;Минина Светлана Марковна;141.0;24;17;13;31;29;27
25;Миновская Лада Анатольевна;291.0;135;50;17;22;25;42
26;Новиков Владимир Николаевич;135.0;14;15;19;21;43;23
27;Ракчеев Алексей Васильевич;93.0;16;9;12;22;22;12
28;Рожков Дмитрий Сергеевич;131.0;13;16;10;19;49;24
29;Рязанский Владимир Михайлович;573.0;90;167;81;103;79;53
30;Смирнов Алексей Викторович;156.0;24;35;29;18;27;23
31;Трушля Юлия Олеговна;59.0;10;10;9;12;11;7
32;Юмалин Дмитрий Павлович;628.0;111;203;76;98;71;69
33;Яндиев Магомет Исаевич;629.0;94;161;105;101;105;63
