;parameter;overall;УИК №85;УИК №87;УИК №94;УИК №95;УИК №96;УИК №99
1;Число избирателей, внесенных в список;15124.0;2191;2559;2411;2514;2680;2769
2;Число бюллетеней, полученных участковой комиссией;10800.0;1600;1800;1700;1800;1900;2000
3;Число бюллетеней, выданных избирателям в помещении для голосования;2025.0;382;423;288;307;334;291
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;23.0;2;5;1;1;9;5
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;96.0;15;24;2;20;18;17
6;Число погашенных бюллетеней;8679.0;1203;1353;1410;1473;1548;1692
7;Число бюллетеней в переносных ящиках для голосования;96.0;15;24;2;20;18;17
8;Число бюллетеней в стационарных ящиках для голосования;2028.0;384;428;288;308;324;296
9;Число недействительных бюллетеней;59.0;5;10;4;14;14;12
10;Число действительных бюллетеней;2065.0;394;442;286;314;328;301
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0
