;parameter;overall;УИК №2734;УИК №2735;УИК №2736;УИК №2737;УИК №2738;УИК №2739;УИК №2740;УИК №2741;УИК №2751;УИК №2752
1;Число избирателей, внесенных в список;18760.0;1517;1951;1320;2185;1169;1747;2017;2262;2221;2371
2;Число бюллетеней, полученных участковой комиссией;13600.0;1100;1400;1000;1600;850;1250;1500;1600;1600;1700
3;Число бюллетеней, выданных избирателям в помещении для голосования;2433.0;185;245;168;297;160;270;229;374;248;257
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;16.0;0;3;3;1;1;1;1;3;2;1
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;181.0;14;19;13;27;18;18;25;27;17;3
6;Число погашенных бюллетеней;10986.0;901;1136;819;1276;672;962;1246;1199;1335;1440
7;Число бюллетеней в переносных ящиках для голосования;181.0;14;19;13;27;18;18;25;27;17;3
8;Число бюллетеней в стационарных ящиках для голосования;2445.0;185;247;171;297;161;271;230;377;250;256
9;Число недействительных бюллетеней;89.0;4;5;4;6;9;17;8;11;11;14
10;Число действительных бюллетеней;2537.0;195;261;180;318;170;272;247;393;256;245
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0;0
