;name;overall;УИК №2742;УИК №2743;УИК №2744;УИК №2745;УИК №2746;УИК №2747;УИК №2748;УИК №2749;УИК №2750
14;Бессмертнов Андрей Александрович;207.0;17;23;31;37;15;9;25;13;37
15;Валов Борис Леонидович;372.0;32;40;66;49;35;14;58;31;47
16;Вялых Егор Андреевич;167.0;16;26;28;31;9;12;17;6;22
17;Гаджиев Тимур Фазаирович;90.0;8;16;10;12;9;8;14;6;7
18;Головичева Людмила Владимировна;778.0;70;105;98;105;59;70;82;71;118
19;Душинина Алла Юрьевна;362.0;58;31;53;60;31;20;46;22;41
20;Жидков Владимир Владимирович;776.0;146;51;82;131;93;61;76;52;84
21;Жилин Владимир Александрович;748.0;136;63;98;136;91;48;57;32;87
22;Зинченко Михаил Вадимович;64.0;9;6;8;14;7;4;5;1;10
23;Капитонов Александр Анатольевич;309.0;34;30;44;52;34;35;22;14;44
24;Клемешов Максим Дмитриевич;75.0;8;6;8;19;6;4;13;4;7
25;Локтев Максим Александрович;339.0;27;32;66;56;20;20;54;26;38
26;Лукьянова Кира Вадимовна;696.0;13;59;101;140;98;68;67;50;100
27;Мамаева Елена Валерьевна;805.0;163;98;101;102;43;60;71;62;105
28;Никольская Юлия Вячеславовна;621.0;52;137;68;105;40;34;56;47;82
29;Ободина Стелла Юрьевна;539.0;48;64;84;100;63;42;48;26;64
30;Ребяцков Денис Игоревич;100.0;13;9;16;16;11;4;9;4;18
31;Сорокин Александр Алексеевич;746.0;141;45;88;124;81;59;62;49;97
32;Сухоруков Александр Игоревич;747.0;60;111;109;128;44;45;69;62;119
33;Хайруллина Венера Умяровна;580.0;39;88;83;97;37;38;61;51;86
34;Хомутов Александр Александрович;132.0;14;22;22;23;9;8;14;10;10
35;Черниченко Александра Михайловна;121.0;13;19;22;19;9;5;10;6;18
36;Шестакова Дарья Андреевна;195.0;33;18;19;40;18;15;17;13;22
