;parameter;overall;УИК №2742;УИК №2743;УИК №2744;УИК №2745;УИК №2746;УИК №2747;УИК №2748;УИК №2749;УИК №2750
1;Число избирателей, внесенных в список;18255.0;1842;1799;2293;2622;2016;1892;1790;1637;2364
2;Число бюллетеней, полученных участковой комиссией;13200.0;1300;1300;1650;1850;1500;1400;1300;1200;1700
3;Число бюллетеней, выданных избирателям в помещении для голосования;2377.0;266;284;315;366;228;190;234;164;330
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;16.0;1;3;2;2;2;1;2;0;3
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;224.0;30;16;20;42;13;17;29;27;30
6;Число погашенных бюллетеней;10599.0;1004;1000;1315;1442;1259;1193;1037;1009;1340
7;Число бюллетеней в переносных ящиках для голосования;224.0;30;16;20;42;13;17;29;27;30
8;Число бюллетеней в стационарных ящиках для голосования;2385.0;267;284;317;366;228;191;235;164;333
9;Число недействительных бюллетеней;80.0;3;19;4;6;7;4;10;9;18
10;Число действительных бюллетеней;2529.0;294;281;333;402;234;204;254;182;345
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0
