;parameter;overall;УИК №2765;УИК №2766;УИК №2767;УИК №2768;УИК №2769;УИК №2770;УИК №2771;УИК №2772;УИК №2773;УИК №2774;УИК №2787;УИК №2788;УИК №2790
1;Число избирателей, внесенных в список;27540.0;432;2006;2762;2153;2246;2514;2427;2714;2152;2285;2445;1806;1598
2;Число бюллетеней, полученных участковой комиссией;20100.0;400;1500;2000;1600;1600;1800;1700;2000;1600;1600;1800;1300;1200
3;Число бюллетеней, выданных избирателям в помещении для голосования;3100.0;88;91;226;289;240;310;332;320;293;302;173;301;135
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;52.0;1;2;4;4;7;5;6;5;3;6;1;4;4
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;86.0;8;0;0;11;10;6;6;1;7;7;3;19;8
6;Число погашенных бюллетеней;16914.0;304;1409;1774;1300;1350;1484;1362;1679;1300;1291;1624;980;1057
7;Число бюллетеней в переносных ящиках для голосования;86.0;8;0;0;11;10;6;6;1;7;7;3;19;8
8;Число бюллетеней в стационарных ящиках для голосования;3147.0;89;93;230;290;247;315;338;325;295;308;174;304;139
9;Число недействительных бюллетеней;66.0;1;2;1;6;9;10;4;5;7;7;2;10;2
10;Число действительных бюллетеней;3167.0;96;91;229;295;248;311;340;321;295;308;175;313;145
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
