;parameter;overall;УИК №2775;УИК №2776;УИК №2777;УИК №2778;УИК №2779;УИК №2780;УИК №2781;УИК №2782;УИК №2783;УИК №2784;УИК №2785;УИК №2786
1;Число избирателей, внесенных в список;25716.0;1968;1767;2711;2181;2752;2541;2066;1490;1962;1949;2517;1812
2;Число бюллетеней, полученных участковой комиссией;18800.0;1400;1300;2000;1600;2000;1800;1500;1100;1500;1500;1800;1300
3;Число бюллетеней, выданных избирателям в помещении для голосования;3596.0;233;221;378;380;439;308;218;204;390;247;297;281
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;46.0;8;3;5;2;4;3;4;5;3;3;4;2
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;120.0;10;9;12;12;3;8;5;1;10;16;14;20
6;Число погашенных бюллетеней;15084.0;1157;1070;1610;1208;1558;1484;1277;895;1100;1237;1489;999
7;Число бюллетеней в переносных ящиках для голосования;120.0;10;9;12;12;3;8;5;1;10;16;14;20
8;Число бюллетеней в стационарных ящиках для голосования;3633.0;241;219;383;380;443;311;222;208;393;250;301;282
9;Число недействительных бюллетеней;89.0;7;4;7;8;13;6;3;5;10;9;12;5
10;Число действительных бюллетеней;3664.0;244;224;388;384;433;313;224;204;393;257;303;297
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0;0;0;0
