;name;overall;УИК №1574;УИК №1575;УИК №1576;УИК №1577;УИК №1578;УИК №1579;УИК №1580;УИК №1581;УИК №1582;УИК №1583;УИК №1584;УИК №1585;УИК №1586;УИК №1587;УИК №1588;УИК №1589
14;Алексеев Алексей Алексеевич;443.0;42;41;27;36;32;12;24;30;14;16;33;36;48;18;11;23
15;Андреев Сергей Сергеевич;290.0;31;20;23;20;23;13;8;23;12;16;16;21;19;14;13;18
16;Афанасова Вера Васильевна;701.0;55;55;40;51;33;35;37;50;37;28;31;50;74;60;9;56
17;Балабуткин Алексей Алексеевич;643.0;75;66;94;53;60;25;24;35;19;18;36;38;25;22;30;23
18;Бондарь Андрей Васильевич;325.0;23;11;14;21;31;20;16;15;31;11;21;28;22;16;32;13
19;Дегтярев Станислав Олегович;801.0;63;41;38;48;51;48;38;51;54;33;40;68;90;70;17;51
20;Евсеев Анатолий Дмитриевич;1917.0;175;190;130;133;156;66;82;96;71;83;131;143;186;80;99;96
21;Зинич Михаил Викторович;954.0;125;87;65;51;71;50;61;47;36;58;45;86;94;24;10;44
22;Кисель Александр Павлович;559.0;39;45;28;30;25;26;18;20;39;39;58;56;46;22;38;30
23;Колганов Максим Олегович;240.0;15;26;23;16;18;10;12;12;8;13;19;16;13;13;11;15
24;Костюченко Владимир Евгеньевич;448.0;48;35;29;27;32;16;15;21;21;16;30;45;33;19;43;18
25;Кручинин Иван Михайлович;165.0;19;15;12;9;13;7;7;9;1;11;6;12;6;9;15;14
26;Кручинин Юрий Михайлович;149.0;17;9;8;9;7;9;13;8;4;7;5;6;13;5;16;13
27;Ларин Михаил Игоревич;835.0;74;68;51;70;56;41;52;36;37;43;45;89;109;21;13;30
28;Лутовинов Сергей Александрович;503.0;36;45;28;51;45;21;32;27;25;24;26;57;45;14;6;21
29;Манасипов Руслан Яшарович;431.0;30;29;28;22;24;25;23;26;20;38;21;28;60;28;9;20
30;Москалюк Павел Александрович;353.0;17;30;19;18;16;16;19;12;24;29;41;56;32;7;7;10
31;Моськин Константин Сергеевич;1378.0;104;115;69;77;101;48;45;67;51;51;115;144;170;79;60;82
32;Мусиенко Виталий Иванович;481.0;36;35;24;33;27;25;23;35;23;34;26;29;49;40;14;28
33;Мягкая Ирина Николаевна;1039.0;103;103;75;72;82;52;37;58;60;54;53;99;89;28;25;49
34;Померанцев Георгий Александрович;199.0;15;23;9;16;18;6;13;11;10;4;12;17;17;10;8;10
35;Романов Алексей Александрович;1198.0;104;99;61;89;105;41;49;74;42;67;76;102;110;57;64;58
36;Сколозубов Владимир Игоревич;277.0;38;32;23;16;24;8;10;26;10;8;11;24;32;6;5;4
37;Смелова Марина Александровна;1333.0;118;118;64;100;132;19;52;77;64;70;96;125;127;58;51;62
38;Сосновский Илья Владимирович;1176.0;99;90;57;114;108;19;46;61;55;63;90;107;114;38;50;65
39;Федоров Павел Сергеевич;524.0;41;43;29;39;35;25;23;28;26;28;27;38;48;39;21;34
40;Шкурин Николай Викторович;805.0;83;95;64;82;50;40;32;47;29;41;36;66;81;17;10;32
