;parameter;overall;УИК №1574;УИК №1575;УИК №1576;УИК №1577;УИК №1578;УИК №1579;УИК №1580;УИК №1581;УИК №1582;УИК №1583;УИК №1584;УИК №1585;УИК №1586;УИК №1587;УИК №1588;УИК №1589
1;Число избирателей, внесенных в список;30921.0;2481;2680;2349;2410;1782;1615;1519;1728;1578;1699;1890;2362;2521;1692;786;1829
2;Число бюллетеней, полученных участковой комиссией;22040.0;1750;1880;1650;1700;1260;1150;1100;1250;1150;1200;1350;1700;1800;1200;600;1300
3;Число бюллетеней, выданных избирателям в помещении для голосования;4556.0;384;396;322;303;319;195;220;233;218;235;274;361;446;234;151;265
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;9.0;1;1;1;0;1;0;0;1;0;0;1;1;0;0;0;2
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;338.0;36;36;25;21;33;14;6;22;13;10;40;39;23;11;0;9
6;Число погашенных бюллетеней;17146.0;1330;1448;1303;1376;908;941;874;995;919;955;1036;1300;1331;955;449;1026
7;Число бюллетеней в переносных ящиках для голосования;338.0;36;36;25;21;33;14;6;22;13;10;40;39;23;11;0;9
8;Число бюллетеней в стационарных ящиках для голосования;4542.0;383;392;323;294;320;195;220;233;218;235;274;360;445;234;151;265
9;Число недействительных бюллетеней;198.0;16;16;21;9;14;4;10;9;7;11;8;15;20;17;8;13
10;Число действительных бюллетеней;4682.0;403;412;327;306;339;205;216;246;224;234;306;384;448;228;143;261
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
