;name;overall;УИК №3238;УИК №3239;УИК №3240;УИК №3241;УИК №3242;УИК №3243;УИК №3244;УИК №3245;УИК №3250
14;Власов Андрей Владимирович;236.0;25;38;26;38;40;16;18;15;20
15;Гриднев Олег Владимирович;1071.0;124;139;133;176;113;79;118;117;72
16;Денисов Михаил Алексеевич;232.0;25;22;22;34;27;25;29;24;24
17;Испалатов Артём Юрьевич;89.0;7;17;8;18;9;4;10;9;7
18;Контанистова Ольга Алексеевна;145.0;29;16;16;26;12;9;14;17;6
19;Корепанов Николай Сергеевич;178.0;19;10;18;31;24;20;16;18;22
20;Крекотнев Алексей Александрович;178.0;15;23;16;34;18;10;25;21;16
21;Кузнецова Ольга Николаевна;1009.0;104;138;136;167;110;73;107;112;62
22;Ларин Олег Николаевич;867.0;98;91;109;149;104;72;88;97;59
23;Леоненков Кирилл Владиславович;99.0;14;9;15;13;14;11;3;9;11
24;Маркин Анатолий Андреевич;174.0;13;18;20;17;32;15;21;20;18
25;Митрохин Владимир Павлович;275.0;39;29;43;35;20;34;23;26;26
26;Назаров Никита Михайлович;69.0;7;11;6;16;6;4;7;4;8
27;Пилюгин Дмитрий Игоревич;150.0;18;12;14;26;20;21;14;11;14
28;Пискарёв Сергей Викторович;265.0;35;34;29;42;33;28;31;17;16
29;Ремень Иван Валерьевич;143.0;20;18;17;20;12;15;16;15;10
30;Селиверстов Илья Дмитриевич;300.0;36;42;31;36;35;32;44;19;25
31;Тарасова Марина Георгиевна;171.0;20;35;21;17;28;17;10;16;7
32;Филиппов Андрей Эдуардович;259.0;37;19;33;37;36;33;22;24;18
33;Францева Галина Егоровна;876.0;96;98;110;145;112;65;102;91;57
34;Харитонов Александр Петрович;207.0;22;22;18;35;25;26;19;17;23
35;Юдахина Ирина Васильевна;971.0;112;140;126;151;120;66;94;96;66
