;parameter;overall;УИК №3238;УИК №3239;УИК №3240;УИК №3241;УИК №3242;УИК №3243;УИК №3244;УИК №3245;УИК №3250
1;Число избирателей, внесенных в список;11670.0;1441;1376;1660;1549;1279;1007;1123;1204;1031
2;Число бюллетеней, полученных участковой комиссией;8500.0;1100;1000;1200;1100;900;750;800;900;750
3;Число бюллетеней, выданных избирателям в помещении для голосования;1807.0;216;241;215;262;202;168;189;161;153
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;24.0;5;4;3;4;1;0;4;0;3
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;321.0;23;37;36;58;37;23;48;40;19
6;Число погашенных бюллетеней;6372.0;861;722;949;780;661;559;563;699;578
7;Число бюллетеней в переносных ящиках для голосования;318.0;23;37;36;58;35;23;48;39;19
8;Число бюллетеней в стационарных ящиках для голосования;1828.0;221;245;218;266;202;167;192;161;156
9;Число недействительных бюллетеней;53.0;13;0;7;9;6;5;6;4;3
10;Число действительных бюллетеней;2093.0;231;282;247;315;231;185;234;196;172
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0
