;parameter;overall;УИК №3246;УИК №3247;УИК №3248;УИК №3249;УИК №3251;УИК №3252;УИК №3253;УИК №3254;УИК №3255;УИК №3256;УИК №3257
1;Число избирателей, внесенных в список;11623.0;805;717;1084;1467;1064;1054;1063;1651;494;1161;1063
2;Число бюллетеней, полученных участковой комиссией;8500.0;600;550;800;1050;750;750;750;1200;350;850;850
3;Число бюллетеней, выданных избирателям в помещении для голосования;1819.0;164;154;205;242;163;149;182;223;80;147;110
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;19.0;4;0;2;1;3;0;4;1;1;0;3
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;248.0;30;14;38;1;2;27;11;29;17;19;60
6;Число погашенных бюллетеней;6433.0;406;382;557;807;585;574;557;948;253;684;680
7;Число бюллетеней в переносных ящиках для голосования;248.0;30;14;38;1;2;27;11;29;17;19;60
8;Число бюллетеней в стационарных ящиках для голосования;1834.0;168;154;205;242;166;149;186;223;81;147;113
9;Число недействительных бюллетеней;50.0;6;4;3;2;9;4;10;4;2;5;1
10;Число действительных бюллетеней;2032.0;192;164;240;241;159;172;187;248;96;161;172
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0;0;0
