;name;overall;УИК №398;УИК №399;УИК №400;УИК №401;УИК №402
14;Аверьянов Виктор Васильевич;757.0;125;126;175;165;166
15;Аляутдинов Ильдар Алимжанович;62.0;10;16;18;9;9
16;Бабкин Максим Викторович;59.0;8;14;13;10;14
17;Балагурова Наталия Валериевна;129.0;21;26;27;24;31
18;Горбунова Ксения Алексеевна;413.0;68;93;64;93;95
19;Климова Нина Николаевна;177.0;24;31;33;46;43
20;Кочерыгина Людмила Владимировна;637.0;93;77;155;135;177
21;Кочубей Леонид Борисович;548.0;82;85;161;120;100
22;Крысанов Александр Михайлович;90.0;17;24;14;20;15
23;Куракин Евгений Игоревич;210.0;41;47;37;39;46
24;Лаврухин Станислав Борисович;709.0;126;118;146;162;157
25;Мокиенко Евгений Игоревич;532.0;83;126;81;122;120
26;Науменкова Татьяна Степановна;207.0;25;41;41;46;54
27;Олешкевич Денис Валерьевич;594.0;101;136;88;131;138
28;Разин Евгений Эдуардович;334.0;59;76;47;87;65
29;Серегина Яна Владимировна;187.0;18;31;40;60;38
30;Скворцова Анна Борисовна;185.0;23;39;35;42;46
31;Супрун Елена Валентиновна;119.0;19;50;17;12;21
32;Фигуров Игорь Анатольевич;138.0;24;26;24;35;29
33;Хачатрян Павел Ашотович;257.0;44;46;40;64;63
34;Шумейко Дарья Дмитриевна;133.0;21;19;23;33;37
35;Щербаков Николай Иванович;226.0;30;53;41;50;52
