;parameter;overall;УИК №753;УИК №754;УИК №755;УИК №756;УИК №757
1;Число избирателей, внесенных в список;11472.0;2183;2388;2151;2456;2294
2;Число бюллетеней, полученных участковой комиссией;7500.0;1500;1500;1500;1500;1500
3;Число бюллетеней, выданных избирателям в помещении для голосования;1782.0;317;357;362;395;351
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;12.0;3;1;2;1;5
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;112.0;10;24;35;24;19
6;Число погашенных бюллетеней;5606.0;1173;1119;1103;1081;1130
7;Число бюллетеней в переносных ящиках для голосования;112.0;10;24;35;24;19
8;Число бюллетеней в стационарных ящиках для голосования;1787.0;320;356;364;396;351
9;Число недействительных бюллетеней;70.0;14;20;7;12;17
10;Число действительных бюллетеней;1829.0;316;360;392;408;353
11;Число утраченных бюллетеней;0.0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0
