;parameter;overall;УИК №758;УИК №759;УИК №760;УИК №761
1;Число избирателей, внесенных в список;10662.0;2693;2532;2709;2728
2;Число бюллетеней, полученных участковой комиссией;6000.0;1500;1500;1500;1500
3;Число бюллетеней, выданных избирателям в помещении для голосования;1870.0;403;451;502;514
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;14.0;6;1;3;4
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;139.0;51;29;32;27
6;Число погашенных бюллетеней;3991.0;1046;1020;966;959
7;Число бюллетеней в переносных ящиках для голосования;139.0;51;29;32;27
8;Число бюллетеней в стационарных ящиках для голосования;1883.0;409;452;505;517
9;Число недействительных бюллетеней;81.0;14;16;31;20
10;Число действительных бюллетеней;1941.0;446;465;506;524
11;Число утраченных бюллетеней;0.0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0
