;name;overall;УИК №762;УИК №763;УИК №764;УИК №765;УИК №766
14;Авдошина Людмила Львовна;638.0;86;169;139;144;100
15;Береснев Петр Александрович;111.0;15;20;28;21;27
16;Галеев Тимур Анварович;94.0;9;20;25;23;17
17;Галин Роман Тимерханович;267.0;24;68;52;78;45
18;Добрынин Сергей Александрович;80.0;6;20;25;14;15
19;Елкин Александр Сергеевич;286.0;23;51;49;52;111
20;Ершов Геннадий Владимирович;89.0;15;18;16;24;16
21;Картышов Олег Иванович;361.0;24;54;49;89;145
22;Катусов Константин Эдуардович;127.0;13;36;28;31;19
23;Князев Денис Александрович;92.0;11;19;17;21;24
24;Комаров Александр Сергеевич;145.0;16;32;33;32;32
25;Лягушева Антонина Валерьевна;224.0;18;55;47;79;25
26;Макаров Виталий Аркадьевич;116.0;13;17;22;39;25
27;Марченко Евгений Владимирович;423.0;41;113;89;115;65
28;Мирзаходжиев Кудрат Махамадалиевич;491.0;66;132;105;118;70
29;Невский Михаил Александрович;77.0;14;18;20;14;11
30;Овчинников Дмитрий Андреевич;187.0;11;21;16;30;109
31;Перфилов Вячеслав Васильевич;470.0;65;137;106;97;65
32;Печников Святослав Александрович;431.0;51;96;115;113;56
33;Сапронов Александр Сергеевич;76.0;13;13;20;17;13
34;Соколов Анатолий Николаевич;359.0;22;62;55;90;130
35;Фомин Эварист Георгиевич;194.0;27;43;43;53;28
36;Чистяков Николай Михайлович;601.0;77;165;126;133;100
