;name;overall;УИК №2315;УИК №2316;УИК №2317;УИК №2318;УИК №2319;УИК №2320;УИК №2321;УИК №2322;УИК №2323;УИК №2324;УИК №2325;УИК №2326;УИК №2327
14;Агаджанян Армен Шагенович;125.0;8;6;10;5;9;10;11;7;13;14;8;21;3
15;Архарова Ольга Петровна;1406.0;83;97;113;88;102;127;143;103;110;103;91;145;101
16;Белоколодцев Кирилл Сергеевич;202.0;18;20;16;6;16;15;28;13;14;16;10;21;9
17;Беседин Александр Юрьевич;241.0;14;13;15;10;29;24;17;23;19;14;27;19;17
18;Волков Александр Вячеславович;326.0;36;23;19;15;24;24;11;17;11;44;21;37;44
19;Галой Наталья Юрьевна;379.0;38;22;21;17;43;32;23;22;37;30;24;48;22
20;Герман Светлана Ивановна;220.0;14;7;7;45;21;23;15;13;11;19;13;16;16
21;Дрынкина Галина Леонардовна;455.0;25;22;13;22;50;29;14;18;19;123;38;62;20
22;Евдокимов Алексей Николаевич;224.0;13;23;19;12;27;13;15;14;18;17;17;21;15
23;Зинин Андрей Сергеевич;1472.0;90;89;105;103;118;126;133;107;125;123;87;154;112
24;Зориков Кирилл Олегович;99.0;14;6;1;5;6;5;6;5;9;13;7;10;12
25;Ильин Павел Станиславович;543.0;33;25;27;38;64;44;29;38;75;45;31;46;48
26;Климкин Михаил Витольдович;332.0;25;26;22;20;25;28;25;22;17;29;32;30;31
27;Комаричев Никита Михайлович;89.0;8;10;11;4;6;7;12;4;3;6;8;3;7
28;Кондауров Денис Борисович;534.0;38;23;21;24;61;50;28;41;65;53;45;37;48
29;Лазарев Владимир Иванович;605.0;63;38;35;38;54;41;39;35;41;79;35;64;43
30;Леков Руслан Муратович;1128.0;76;82;92;67;80;98;99;80;98;87;60;124;85
31;Малышева Наталья Александровна;606.0;44;36;38;49;48;56;40;47;43;72;41;52;40
32;Малютина Мария Андреевна;218.0;23;14;10;15;26;27;15;18;11;15;11;20;13
33;Марусенко Марья Михайловна;570.0;42;37;36;39;50;34;45;48;38;77;37;47;40
34;Миропольский Никита Юрьевич;557.0;43;24;18;27;64;49;32;44;66;48;49;41;52
35;Никонов Александр Анатольевич;296.0;20;14;23;17;15;17;27;24;23;49;23;29;15
36;Орлова Наталья Игоревна;115.0;10;5;9;6;9;12;12;6;8;12;10;8;8
37;Папян Айк Гришаевич;53.0;2;5;4;1;9;3;5;3;10;5;0;3;3
38;Папян Гарегин Гришаевич;67.0;6;3;6;4;7;2;9;5;10;5;1;7;2
39;Пасканный Алексей Александрович;147.0;13;8;6;6;13;15;9;8;20;12;11;17;9
40;Проничев Денис Сергеевич;172.0;20;9;16;13;14;15;13;8;13;20;10;13;8
41;Рябов Иван Александрович;111.0;8;8;13;3;7;6;13;9;7;11;6;7;13
42;Сабадаш Роман Владимирович;221.0;16;13;16;15;21;15;14;23;16;17;13;18;24
43;Тутрин Николай Николаевич;1219.0;73;76;93;73;81;101;108;89;99;110;66;149;101
44;Филимонов Семен Владимирович;118.0;6;7;10;6;13;6;5;8;11;11;11;15;9
45;Фураков Дмитрий Вячеславович;173.0;13;16;8;6;12;9;19;11;8;14;12;27;18
46;Щербаченко Петр Сергеевич;1211.0;76;76;92;76;86;100;109;84;112;101;68;131;100
