;parameter;overall;УИК №2328;УИК №2329;УИК №2330;УИК №2331;УИК №2332;УИК №2333;УИК №2334;УИК №2335;УИК №2336;УИК №2337;УИК №2338;УИК №2339;УИК №2340;УИК №2341
1;Число избирателей, внесенных в список;29989.0;2133;1984;2029;1709;2235;730;2315;2359;2144;2539;2535;2467;2261;2549
2;Число бюллетеней, полученных участковой комиссией;23000.0;1500;1500;1500;1300;1700;600;1800;1800;1700;2000;2000;1900;1700;2000
3;Число бюллетеней, выданных избирателям в помещении для голосования;3894.0;251;224;238;152;235;110;299;305;211;389;473;332;345;330
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;56.0;3;4;0;4;4;0;3;6;4;3;6;4;12;3
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;222.0;7;8;20;16;6;10;17;16;20;12;15;26;38;11
6;Число погашенных бюллетеней;18884.0;1242;1268;1242;1132;1459;480;1484;1479;1469;1599;1512;1542;1317;1659
7;Число бюллетеней в переносных ящиках для голосования;222.0;7;8;20;16;6;10;17;16;20;12;15;26;38;11
8;Число бюллетеней в стационарных ящиках для голосования;3942.0;254;227;238;156;239;110;300;311;214;389;479;335;357;333
9;Число недействительных бюллетеней;175.0;9;7;10;2;7;4;15;18;16;10;30;18;26;3
10;Число действительных бюллетеней;3989.0;252;228;248;170;238;116;302;309;218;391;464;343;369;341
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
