;name;overall;УИК №1219;УИК №1220;УИК №1221;УИК №1222;УИК №1223;УИК №1224;УИК №1225;УИК №1226;УИК №1229
14;Аликов Александр Ахсарбекович;178.0;15;17;4;21;13;16;16;30;46
15;Баландин Александр Иванович;141.0;18;24;4;17;13;14;11;22;18
16;Барановский Дмитрий Сергеевич;1504.0;154;114;11;135;81;112;487;269;141
17;Бодрова Елена Борисовна;1214.0;150;137;37;189;160;178;103;150;110
18;Браматкина Алла Анатольевна;1254.0;142;128;28;194;154;181;131;179;117
19;Ерохина Надежда Анатольевна;211.0;24;34;5;21;19;23;22;34;29
20;Захаров Илья Викторович;1194.0;139;79;11;108;60;88;375;200;134
21;Киреев Андрей Николаевич;116.0;13;21;8;12;5;16;4;16;21
22;Козлов Владимир Владимирович;287.0;53;25;7;32;17;37;34;37;45
23;Кузьмина Светлана Игоревна;204.0;19;17;11;27;18;20;29;36;27
24;Лобов Алексей Борисович;128.0;16;12;10;12;10;11;18;16;23
25;Маркова Екатерина Николаевна;1243.0;148;140;47;203;152;178;119;146;110
26;Мартынов Сергей Валерьевич;177.0;19;16;9;21;16;16;22;32;26
27;Нестерова Анна Евгеньевна;1214.0;123;82;9;108;55;87;418;220;112
28;Пирожков Евгений Васильевич;1173.0;141;129;51;178;143;173;112;146;100
29;Силаева Екатерина Геннадиевна;1289.0;135;93;16;118;61;93;396;232;145
30;Скирдо Дмитрий Владимирович;115.0;11;4;4;11;5;20;21;22;17
31;Степанишин Евгений Игоревич;168.0;31;15;6;11;11;17;20;16;41
32;Степанишина Любовь Владимировна;169.0;28;10;6;13;11;21;22;23;35
33;Тихонов Дмитрий Викторович;111.0;8;10;1;10;3;12;19;32;16
34;Торопов Владимир Михайлович;62.0;9;10;3;10;5;0;5;7;13
35;Чевтайкина Надежда Васильевна;120.0;20;12;1;19;6;12;8;22;20
36;Чекаева Елена Владимировна;134.0;15;14;3;15;9;16;18;22;22
37;Шевченко Денис Владимирович;145.0;19;21;2;20;5;9;25;24;20
