;parameter;overall;УИК №1227;УИК №1228;УИК №1230;УИК №1231;УИК №1232;УИК №1233;УИК №1234;УИК №1235;УИК №1236
1;Число избирателей, внесенных в список;18333.0;1801;1730;2315;1988;2253;2083;2166;2016;1981
2;Число бюллетеней, полученных участковой комиссией;13780.0;1360;1300;1730;1500;1680;1560;1630;1520;1500
3;Число бюллетеней, выданных избирателям в помещении для голосования;2909.0;246;261;363;304;272;409;386;342;326
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;4.0;0;0;0;0;0;2;0;1;1
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;153.0;3;15;14;30;19;12;19;23;18
6;Число погашенных бюллетеней;10718.0;1111;1024;1353;1166;1389;1139;1225;1155;1156
7;Число бюллетеней в переносных ящиках для голосования;153.0;3;15;14;30;19;12;19;23;18
8;Число бюллетеней в стационарных ящиках для голосования;2909.0;246;261;363;304;270;411;386;341;327
9;Число недействительных бюллетеней;89.0;6;7;10;12;10;12;16;5;11
10;Число действительных бюллетеней;2973.0;243;269;367;322;279;411;389;359;334
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0
