;name;overall;УИК №781;УИК №782;УИК №783;УИК №784;УИК №785;УИК №786;УИК №787;УИК №788;УИК №789;УИК №790
14;Вишняков Андрей Михайлович;432.0;36;45;41;45;56;48;37;36;44;44
15;Володин Сергей Васильевич;665.0;76;67;63;57;72;68;62;62;68;70
16;Григорян Андрей Артурович;291.0;29;28;25;31;35;25;25;28;36;29
17;Игнатов Роман Геннадьевич;294.0;23;30;29;37;37;32;28;29;24;25
18;Клокарь Павел Александрович;628.0;78;61;58;41;76;89;43;46;75;61
19;Кузнецова Зоя Александровна;770.0;100;71;85;51;92;96;57;66;90;62
20;Петров Виталий Михайлович;395.0;42;63;32;28;32;23;38;42;50;45
21;Прописнова Анастасия Сергеевна;213.0;25;20;16;25;12;17;12;22;39;25
22;Сапронов Александр Сергеевич;1362.0;140;149;126;140;200;142;106;131;112;116
23;Соколова Елена Ивановна;1171.0;110;100;102;68;150;185;158;85;104;109
24;Старов Сергей Николаевич;625.0;78;68;41;51;48;73;51;80;74;61
25;Стрижиченко Любовь Васильевна;1071.0;133;108;103;70;117;148;95;92;109;96
26;Чепусенко Максим Андреевич;669.0;82;62;61;40;82;103;57;54;71;57
27;Чергейко Георгий Михайлович;499.0;55;46;35;61;56;36;50;52;55;53
28;Шокин Максим Андреевич;555.0;60;59;46;52;65;47;50;59;62;55
