;name;overall;УИК №2987;УИК №2988;УИК №3009;УИК №3010;УИК №3011;УИК №3012;УИК №3013;УИК №3014;УИК №3015;УИК №3016;УИК №3017;УИК №3018;УИК №3019
14;Апридонидзе Татьяна Михайловна;1253.0;160;200;79;80;64;93;78;86;64;91;105;88;65
15;Бакашева Екатерина Сергеевна;532.0;47;48;50;39;29;30;38;54;39;28;43;55;32
16;Герасимов Иван Николаевич;946.0;86;89;75;64;56;71;60;84;64;71;85;70;71
17;Голоколенко Сергей Михайлович;780.0;53;81;70;40;33;47;42;53;45;39;65;53;159
18;Гутман Анатолий Израилевич;490.0;41;34;50;30;32;37;40;26;45;42;52;41;20
19;Дровосеков Александр Викторович;213.0;13;24;16;20;17;15;12;10;15;10;39;8;14
20;Ермилов Дмитрий Сергеевич;374.0;22;30;33;37;67;53;18;26;14;24;28;13;9
21;Ерофеев Филипп Станиславович;432.0;46;40;37;30;29;31;22;29;32;24;76;24;12
22;Иванников Николай Юрьевич;1358.0;124;130;109;100;85;101;89;100;106;94;144;110;66
23;Иванов Кирилл Михайлович;529.0;44;41;81;30;25;30;39;47;25;35;63;35;34
24;Изюмов Борис Геннадьевич;198.0;18;20;21;18;10;13;8;22;3;17;16;17;15
25;Кожевникова Анастасия Валерьевна;308.0;25;19;34;23;16;18;21;30;27;23;36;22;14
26;Комиссарова Светлана Александровна;1319.0;103;97;111;82;83;104;97;101;96;110;149;110;76
27;Костромичев Антон Александрович;1052.0;64;101;96;70;60;87;65;87;77;74;120;136;15
28;Куприянович Игорь Сергеевич;332.0;30;75;29;21;17;21;18;28;27;16;24;19;7
29;Нестеров Андрей Александрович;388.0;40;34;48;20;21;22;20;36;23;26;44;23;31
30;Платонов Иван Игоревич;592.0;41;60;47;40;45;53;45;45;50;51;54;52;9
31;Портнов Артемий Николаевич;404.0;26;34;59;28;22;26;27;39;23;28;36;31;25
32;Потанин Сергей Юрьевич;359.0;33;34;45;20;15;22;17;24;15;33;40;31;30
33;Селин Михаил Владимирович;276.0;21;30;25;15;23;17;19;25;14;29;30;13;15
34;Тадей Станислав Викторович;1041.0;52;101;91;79;70;89;58;74;86;75;110;142;14
35;Удалова Ирина Владимировна;499.0;47;47;45;39;33;37;37;40;39;42;38;38;17
36;Ушаков Тимофей Борисович;570.0;34;56;60;46;42;50;31;46;45;40;62;45;13
37;Чомаев Филипп Тимурович;890.0;73;81;77;67;53;64;55;69;62;80;84;69;56
