;name;overall;УИК №2980;УИК №2981;УИК №2982;УИК №2983;УИК №2984;УИК №2985;УИК №2986;УИК №2989;УИК №2990;УИК №2991;УИК №2992;УИК №2993;УИК №2994;УИК №2995
14;Бурдина Анна Анатольевна;577.0;39;33;47;47;66;41;33;27;48;37;39;29;53;38
15;Василишин Дмитрий Иванович;459.0;40;29;28;45;24;22;49;11;32;30;43;24;42;40
16;Глотов Андрей Константинович;1032.0;70;75;85;72;78;58;60;46;93;89;74;47;88;97
17;Ерофеев Николай Филиппович;1283.0;124;101;115;116;67;136;126;37;68;50;128;79;66;70
18;Зоммер Денис Валерьевич;586.0;66;39;53;49;33;51;32;17;36;31;70;33;39;37
19;Ионкина Вера Павловна;276.0;21;25;24;27;20;21;19;11;26;21;16;14;15;16
20;Капустянский Николай Михайлович;146.0;10;11;19;10;15;10;19;5;7;8;7;9;10;6
21;Кобылкин Владислав Васильевич;775.0;87;46;72;81;37;52;62;17;52;51;72;55;55;36
22;Косыгин Сергей Вячеславович;361.0;23;27;35;20;52;25;17;12;33;24;19;27;31;16
23;Кружков Андрей Анатольевич;1227.0;109;93;112;88;73;122;121;37;65;51;116;84;72;84
24;Кулешов Николай Александрович;625.0;53;30;59;55;39;41;42;15;57;41;59;48;39;47
25;Матвеенков Никита Святославович;463.0;35;13;23;41;142;29;32;14;14;22;30;16;24;28
26;Митяев Александр Константинович;178.0;20;10;15;21;9;11;10;2;26;11;10;8;12;13
27;Нагаева Ирина Александровна;623.0;45;45;59;36;49;49;32;40;56;42;36;29;54;51
28;Недоступ Андрей Игоревич;590.0;41;49;54;52;46;28;42;35;39;45;35;29;54;41
29;Никулин Евгений Германович;349.0;27;23;29;35;17;31;20;7;30;21;35;21;23;30
30;Павлова Ирина Александровна;710.0;73;38;79;64;43;56;43;20;49;51;68;40;43;43
31;Пичужин Роман Дмитриевич;878.0;56;70;71;72;75;45;43;48;72;79;68;40;72;67
32;Рыбальский Павел Иосифович;1212.0;109;97;100;81;78;137;127;35;65;44;118;77;66;78
33;Смирнов Евгений Александрович;219.0;17;19;23;19;13;14;10;8;18;21;12;9;17;19
34;Стефанцев Тимофей Викторович;250.0;21;19;25;21;13;24;18;6;17;20;15;16;16;19
35;Таманова Марина Владимировна;210.0;22;18;19;15;6;17;15;8;23;14;14;12;15;12
36;Царькова Людмила Викторовна;237.0;15;15;14;26;22;16;21;31;11;14;14;11;22;5
37;Чередниченко Лариса Сергеевна;1271.0;119;105;117;95;92;119;133;41;67;46;120;77;76;64
38;Щербакова Раиса Николаевна;1116.0;90;88;114;76;70;124;125;37;47;38;103;69;71;64
