;name;overall;УИК №798;УИК №799;УИК №800;УИК №803
14;Арбузова Елена Александровна;175.0;46;28;33;68
15;Беликов Дмитрий Михайлович;156.0;56;20;28;52
16;Белов Антон Борисович;157.0;39;30;36;52
17;Генина Дарья Денисовна;107.0;31;15;16;45
18;Гордеев Николай Владимирович;76.0;23;12;11;30
19;Калиничева Мария Владимировна;695.0;183;197;96;219
20;Каткова Светлана Николаевна;691.0;199;232;82;178
21;Козленко Александр Николаевич;67.0;28;10;2;27
22;Кузьмина Жанна Михайловна;180.0;35;34;37;74
23;Луничкин Егор Валериевич;135.0;45;25;22;43
24;Маркова Людмила Викторовна;647.0;168;191;93;195
25;Морозов Дмитрий Антонович;112.0;31;28;16;37
26;Морозова Анастасия Станиславовна;93.0;23;17;16;37
27;Старостин Анатолий Васильевич;734.0;190;196;105;243
28;Таширева Наталья Ивановна;97.0;25;14;25;33
29;Тетерин Александр Юрьевич;83.0;27;5;14;37
30;Тороян Гарик Альбертович;125.0;28;15;47;35
31;Черноглазов Всеволод Викторович;659.0;170;177;94;218
32;Шлыкова Ольга Владимировна;291.0;65;34;30;162
