;parameter;overall;УИК №798;УИК №799;УИК №800;УИК №803
1;Число избирателей, внесенных в список;9665.0;2743;2122;2274;2526
2;Число бюллетеней, полученных участковой комиссией;6900.0;2000;1500;1600;1800
3;Число бюллетеней, выданных избирателям в помещении для голосования;1566.0;430;346;243;547
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;9.0;1;4;1;3
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;17.0;1;2;3;11
6;Число погашенных бюллетеней;5317.0;1569;1152;1354;1242
7;Число бюллетеней в переносных ящиках для голосования;17.0;1;2;3;11
8;Число бюллетеней в стационарных ящиках для голосования;1574.0;431;349;244;550
9;Число недействительных бюллетеней;56.0;9;14;10;23
10;Число действительных бюллетеней;1535.0;423;337;237;538
11;Число утраченных бюллетеней;0.0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0
