;name;overall;УИК №801;УИК №802;УИК №804;УИК №805;УИК №806
14;Арефьев Владимир Алексеевич;262.0;33;111;40;48;30
15;Бахтин Александр Сергеевич;584.0;94;151;127;161;51
16;Борунов Алексей Сергеевич;125.0;60;20;14;18;13
17;Гордеев Валентин Михайлович;99.0;30;24;18;17;10
18;Горюнова Любовь Михайловна;138.0;25;58;16;28;11
19;Десетирик Александр Петрович;83.0;21;21;10;22;9
20;Добрынин Сергей Александрович;84.0;17;23;25;9;10
21;Дружинин Владимир Петрович;916.0;97;278;200;282;59
22;Заец Владимир Александрович;126.0;29;38;20;25;14
23;Зверев Виталий Владимирович;454.0;84;104;98;125;43
24;Зиновьев Антон Валерьевич;70.0;7;18;12;27;6
25;Ковалевский Алексей Владимирович;56.0;19;5;12;12;8
26;Леньшина Светлана Ивановна;688.0;105;202;137;186;58
27;Лозина Ольга Владимировна;183.0;67;49;28;21;18
28;Махортов Николай Николаевич;285.0;20;119;67;58;21
29;Молошенко Сергей Владимирович;231.0;27;74;55;59;16
30;Островский Илья Ильич;57.0;16;17;7;9;8
31;Ригосик Павел Алексеевич;65.0;19;9;10;16;11
32;Рудакова Светлана Александровна;64.0;21;13;16;11;3
33;Слепов Константин Николаевич;124.0;21;54;23;20;6
34;Соловьева Галина Сергеевна;425.0;42;186;83;87;27
35;Терентьев Виталий Сергеевич;394.0;14;180;91;98;11
36;Филиппов Андрей Геннадьевич;51.0;12;16;9;10;4
37;Хамидулин Эрик Артурович;20.0;6;7;2;5;0
38;Хасметдинов Дамир Мясумович;19.0;4;5;4;3;3
39;Шах Наталья Александровна;751.0;97;245;153;208;48
40;Шевкунов Михаил Михайлович;112.0;20;27;19;30;16
41;Ширинкин Дмитрий Сергеевич;229.0;19;132;28;33;17
42;Якушкина Галина Борисовна;148.0;11;58;33;29;17
