;name;overall;УИК №3266;УИК №3267;УИК №3268;УИК №3269;УИК №3270;УИК №3271;УИК №3272;УИК №3273;УИК №3274;УИК №3275;УИК №3276;УИК №3277
14;Акимов Вадим Михайлович;263.0;65;9;54;10;30;16;11;11;21;22;9;5
15;Боброва Анна Алексеевна;263.0;22;19;12;11;38;18;16;19;26;39;11;32
16;Букарева Юлия Дмитриевна;201.0;30;10;7;6;27;18;12;16;19;24;13;19
17;Гончарук Евгений Григорьевич;458.0;45;36;27;33;78;41;23;23;48;58;16;30
18;Дуленин Владимир Григорьевич;743.0;53;44;43;39;65;87;40;54;95;94;58;71
19;Киселева Ирина Викторовна;512.0;47;41;32;45;79;42;30;24;45;62;21;44
20;Колесников Сергей Александрович;340.0;26;25;23;35;46;26;23;18;37;43;15;23
21;Краснослободцев Михаил Павлович;165.0;8;18;9;19;18;12;13;6;17;18;11;16
22;Кузьмин Евгений Владимирович;133.0;13;8;7;9;15;9;9;14;15;7;14;13
23;Кутузов Олег Алексеевич;392.0;30;19;17;22;38;42;31;31;52;52;19;39
24;Лонин Андрей Николаевич;144.0;10;6;7;8;19;16;5;12;17;21;13;10
25;Мирошниченко Юлия Александровна;445.0;39;46;17;29;62;33;14;20;39;70;24;52
26;Новиков Владимир Никитович;256.0;25;10;14;10;28;20;19;18;32;34;15;31
27;Пожогина Людмила Владимировна;465.0;48;53;25;36;61;35;27;19;32;63;25;41
28;Райлян Наталья Ивановна;326.0;27;32;11;28;49;23;12;14;27;47;25;31
29;Рунушкина Ирина Васильевна;720.0;47;48;28;44;75;75;40;53;99;84;51;76
30;Руснак Петр Вадимович;611.0;47;29;30;38;63;63;37;42;78;75;47;62
31;Сафохина Екатерина Сергеевна;660.0;56;40;28;34;65;67;42;49;89;79;52;59
32;Смотрова Татьяна Ивановна;747.0;60;36;39;45;80;81;44;50;86;90;54;82
33;Титов Андрей Михайлович;649.0;59;87;29;45;125;49;33;29;46;78;24;45
34;Федотов Никита Владимирович;63.0;2;8;3;2;8;9;5;1;7;7;7;4
35;Чупанов Андрей Сергеевич;242.0;30;18;12;22;40;14;18;14;27;29;9;9
36;Яковлев Артур Ашотович;132.0;7;9;4;8;18;10;4;8;12;28;10;14
