;parameter;overall;УИК №3266;УИК №3267;УИК №3268;УИК №3269;УИК №3270;УИК №3271;УИК №3272;УИК №3273;УИК №3274;УИК №3275;УИК №3276;УИК №3277
1;Число избирателей, внесенных в список;14855.0;1192;946;937;1219;1978;1209;999;900;1263;1918;1105;1189
2;Число бюллетеней, полученных участковой комиссией;11650.0;950;750;750;950;1500;1000;750;700;1000;1500;850;950
3;Число бюллетеней, выданных избирателям в помещении для голосования;2303.0;182;177;131;149;300;209;146;126;242;286;147;208
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;26.0;1;0;3;0;1;6;1;4;3;3;4;0
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;117.0;16;3;8;3;12;3;10;12;12;17;10;11
6;Число погашенных бюллетеней;9230.0;752;570;611;798;1188;788;594;562;746;1197;693;731
7;Число бюллетеней в переносных ящиках для голосования;117.0;16;3;8;3;12;3;10;12;12;17;10;11
8;Число бюллетеней в стационарных ящиках для голосования;2315.0;183;177;134;149;301;215;137;130;245;289;147;208
9;Число недействительных бюллетеней;94.0;7;2;3;4;10;12;5;4;10;17;9;11
10;Число действительных бюллетеней;2338.0;192;178;139;148;303;206;142;138;247;289;148;208
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0;0;0;0
