;name;overall;УИК №408;УИК №409;УИК №410;УИК №411;УИК №412;УИК №413;УИК №415
14;Аксенов Виталий Владимирович;258.0;32;31;38;26;34;48;49
15;Алитдинов Сергей Андриянович;88.0;13;13;16;20;7;10;9
16;Анурова Ирина Владимировна;726.0;74;132;146;127;110;59;78
17;Аставина Александра Владимировна;145.0;38;20;8;18;18;36;7
18;Бармина Евгения Александровна;176.0;20;16;19;24;14;55;28
19;Бекетова Татьяна Николаевна;143.0;21;14;26;21;13;23;25
20;Беляева Ирина Сергеевна;508.0;50;77;22;39;30;200;90
21;Булычева Дарья Сергеевна;77.0;9;9;9;7;21;10;12
22;Ващенко Юрий Александрович;132.0;35;13;7;17;12;21;27
23;Волокитин Александр Борисович;415.0;44;55;48;95;44;69;60
24;Готцев Алексей Борисович;155.0;18;8;9;20;16;74;10
25;Графов Алексей Вячеславович;117.0;9;13;21;15;14;32;13
26;Гудок Антон Александрович;56.0;12;7;4;6;5;11;11
27;Гусенков Алексей Иванович;94.0;9;22;7;12;13;17;14
28;Дендюк Станислав Сергеевич;33.0;7;0;1;6;3;8;8
29;Добров Василий Александрович;139.0;21;17;14;14;18;42;13
30;Домнин Михаил Станиславович;200.0;42;37;25;11;23;28;34
31;Дудина Вера Павловна;104.0;16;18;16;5;11;22;16
32;Зимин Артем Борисович;110.0;32;17;15;9;11;17;9
33;Калачев Валерий Валентинович;115.0;16;18;9;13;10;39;10
34;Каракай Александр Евгеньевич;76.0;16;10;14;5;6;12;13
35;Котляренко Ростислав Григорьевич;443.0;41;79;123;78;61;32;29
36;Крылова Лариса Александровна;551.0;69;93;119;89;76;60;45
37;Куркиев Султан Ахметович;660.0;131;119;48;82;92;122;66
38;Макаров Андрей Иванович;644.0;118;116;54;82;93;118;63
39;Маркин Николай Сергеевич;425.0;40;38;52;97;41;103;54
40;Махмутов Олег Владимирович;66.0;18;9;5;9;11;7;7
41;Морозов Антон Александрович;657.0;73;111;130;86;69;135;53
42;Мулгачёва Марина Станиславовна;198.0;18;25;13;25;23;46;48
43;Овакимов Михаил Михайлович;326.0;51;50;13;30;24;125;33
44;Падерина Анна Валентиновна;870.0;145;134;57;79;102;168;185
45;Пищугина Вера Михайловна;140.0;15;20;12;25;8;27;33
46;Прокопенко Денис Алексеевич;225.0;28;24;12;19;10;100;32
47;Разумов Петр Александрович;107.0;12;12;20;9;16;22;16
48;Руденко Максим Анатольевич;334.0;63;60;27;52;61;36;35
49;Саркисова Екатерина Игоревна;75.0;10;14;7;7;11;17;9
50;Скворцова Елена Андреевна;129.0;28;12;19;13;16;22;19
51;Соленова Мария Сергеевна;814.0;131;128;61;85;89;141;179
52;Степанов Николай Валерьевич;771.0;93;78;60;86;52;226;176
53;Умников Антон Геннадьевич;143.0;18;22;20;12;11;31;29
54;Чеберяко Антон Сергеевич;166.0;30;31;20;28;19;23;15
55;Яковлева Татьяна Николаевна;666.0;108;119;127;97;77;57;81
56;Яхонтова Александра Николаевна;1026.0;164;155;58;88;95;265;201
