;name;overall;УИК №1237;УИК №1238;УИК №1239;УИК №1243;УИК №1248;УИК №1249;УИК №1250;УИК №1253
14;Агопян Нина Эдуардовна;153.0;15;12;24;22;22;24;18;16
15;Балмышев Алексей Валерьевич;117.0;11;7;17;18;11;27;11;15
16;Балмышева Роза Ахсановна;107.0;10;8;15;12;11;23;10;18
17;Зеленцов Анатолий Станиславович;361.0;36;39;68;62;39;49;33;35
18;Кияновский Дмитрий Александрович;279.0;36;31;49;50;15;46;28;24
19;Коненков Александр Иванович;512.0;67;42;128;84;37;65;46;43
20;Котельникова Наталия Львовна;391.0;54;42;90;71;20;56;21;37
21;Куприянова Ирина Михайловна;534.0;55;92;119;100;39;62;27;40
22;Кустов Алексей Евгеньевич;148.0;17;19;18;16;14;32;12;20
23;Митичкин Александр Евгеньевич;1083.0;89;69;145;111;95;155;247;172
24;Мосин Сергей Сергеевич;621.0;84;66;103;104;46;80;86;52
25;Николаенко Андрей Владимирович;897.0;68;59;109;94;77;134;211;145
26;Полещук Кирилл Владимирович;424.0;56;43;83;69;31;64;54;24
27;Раковская Лариса Викторовна;163.0;23;17;27;14;15;32;18;17
28;Ридный Алексей Николаевич;178.0;23;19;30;29;20;24;14;19
29;Скворцов Михаил Алексеевич;983.0;71;49;107;92;77;143;255;189
30;Стрелец Дмитрий Викторович;114.0;15;14;24;17;10;9;16;9
31;Таневский Дмитрий Александрович;310.0;28;41;39;38;25;53;54;32
32;Тихонова Ольга Викторовна;1040.0;68;54;126;97;93;163;249;190
33;Худайбердин Дамир Шамилевич;84.0;10;8;17;8;3;12;13;13
