;parameter;overall;УИК №1237;УИК №1238;УИК №1239;УИК №1243;УИК №1248;УИК №1249;УИК №1250;УИК №1253
1;Число избирателей, внесенных в список;17114.0;2040;1368;2826;2363;1594;2589;2281;2053
2;Число бюллетеней, полученных участковой комиссией;12400.0;1500;1000;2000;1700;1200;1900;1600;1500
3;Число бюллетеней, выданных избирателям в помещении для голосования;2514.0;234;198;386;327;213;370;429;357
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;0.0;0;0;0;0;0;0;0;0
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;153.0;13;22;20;23;21;33;8;13
6;Число погашенных бюллетеней;9733.0;1253;780;1594;1350;966;1497;1163;1130
7;Число бюллетеней в переносных ящиках для голосования;153.0;13;22;20;23;21;33;8;13
8;Число бюллетеней в стационарных ящиках для голосования;2511.0;234;198;386;326;213;370;427;357
9;Число недействительных бюллетеней;93.0;8;5;10;12;12;23;13;10
10;Число действительных бюллетеней;2571.0;239;215;396;337;222;380;422;360
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0
