;parameter;overall;УИК №1252;УИК №1254;УИК №1255;УИК №1256;УИК №1257;УИК №1258;УИК №1259;УИК №1260;УИК №1261
1;Число избирателей, внесенных в список;17727.0;2402;2144;2485;2711;2496;2367;2599;324;199
2;Число бюллетеней, полученных участковой комиссией;12800.0;1700;1550;1800;1900;1800;1700;1900;300;150
3;Число бюллетеней, выданных избирателям в помещении для голосования;2712.0;342;289;390;450;370;380;409;46;36
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;2.0;0;0;0;0;2;0;0;0;0
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;145.0;19;29;29;18;19;11;17;2;1
6;Число погашенных бюллетеней;9942.0;1338;1232;1381;1432;1411;1309;1474;252;113
7;Число бюллетеней в переносных ящиках для голосования;138.0;19;29;29;11;19;11;17;2;1
8;Число бюллетеней в стационарных ящиках для голосования;2707.0;341;289;389;449;372;378;407;46;36
9;Число недействительных бюллетеней;94.0;14;12;13;12;13;17;12;0;1
10;Число действительных бюллетеней;2751.0;346;306;405;448;378;372;412;48;36
11;Число утраченных бюллетеней;1.0;1;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0
