;parameter;overall;УИК №1270;УИК №1271;УИК №1272;УИК №1273;УИК №1274;УИК №1275;УИК №1276
1;Число избирателей, внесенных в список;16744.0;2489;2234;2558;2454;2480;2296;2233
2;Число бюллетеней, полученных участковой комиссией;11775.0;1742;1573;1779;1720;1749;1606;1606
3;Число бюллетеней, выданных избирателям в помещении для голосования;4134.0;510;678;748;540;642;492;524
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;23.0;0;5;5;4;1;4;4
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;127.0;23;21;7;28;28;10;10
6;Число погашенных бюллетеней;7514.0;1209;874;1024;1152;1079;1104;1072
7;Число бюллетеней в переносных ящиках для голосования;127.0;23;21;7;28;28;10;10
8;Число бюллетеней в стационарных ящиках для голосования;4154.0;508;683;753;544;643;495;528
9;Число недействительных бюллетеней;160.0;24;14;42;17;20;18;25
10;Число действительных бюллетеней;4121.0;507;690;718;555;651;487;513
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0
