;parameter;overall;УИК №1262;УИК №1263;УИК №1264;УИК №1265;УИК №1266;УИК №1267;УИК №1268;УИК №1269
1;Число избирателей, внесенных в список;15633.0;1075;2340;2040;2052;2519;2007;1298;2302
2;Число бюллетеней, полученных участковой комиссией;11695.0;1420;1653;1441;1445;1777;1420;910;1629
3;Число бюллетеней, выданных избирателям в помещении для голосования;3441.0;373;512;466;462;470;390;259;509
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;19.0;2;1;1;3;6;3;0;3
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;145.0;12;14;14;18;24;22;10;31
6;Число погашенных бюллетеней;8109.0;1035;1127;961;965;1283;1008;641;1089
7;Число бюллетеней в переносных ящиках для голосования;145.0;12;14;14;18;24;22;10;31
8;Число бюллетеней в стационарных ящиках для голосования;3455.0;375;512;466;465;476;393;257;511
9;Число недействительных бюллетеней;124.0;12;14;14;11;16;9;14;34
10;Число действительных бюллетеней;3476.0;375;512;466;472;484;406;253;508
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0
