;name;overall;УИК №2791;УИК №2792;УИК №2793;УИК №2794;УИК №2795;УИК №2796;УИК №2799;УИК №2800;УИК №2801;УИК №2802;УИК №2803;УИК №2804;УИК №2806;УИК №2807
14;Алексаков Николай Вадимович;400.0;30;19;34;34;30;29;25;38;28;31;15;19;42;26
15;Алешников Михаил Натанович;648.0;28;31;51;34;52;74;46;61;39;42;29;33;80;48
16;Бобылева Алевтина Сергеевна;1788.0;140;163;116;93;139;143;139;138;156;123;55;86;164;133
17;Богданов Тимур Владимирович;394.0;27;19;32;30;36;21;32;36;19;28;20;25;38;31
18;Бутузов Александр Викторович;357.0;19;22;32;29;22;23;29;37;18;29;17;23;33;24
19;Вязников Олег Николаевич;330.0;11;20;20;32;23;28;30;29;20;23;11;16;27;40
20;Захарова Юлия Андреевна;955.0;42;69;94;55;74;91;72;93;60;61;46;51;94;53
21;Луцковский Кирилл Сергеевич;580.0;33;32;46;38;48;51;50;49;31;58;36;31;42;35
22;Масленникова Ирина Петровна;1920.0;134;161;123;99;155;155;169;141;174;134;58;104;178;135
23;Петров Павел Юрьевич;539.0;30;28;37;36;47;47;36;48;31;62;34;30;41;32
24;Плискина Наталия Александровна;647.0;21;34;40;43;58;46;50;113;45;42;23;42;53;37
25;Попович Виктор Константинович;1892.0;141;157;125;88;139;154;176;141;163;137;62;99;168;142
26;Решилова Ольга Валерьевна;320.0;15;13;32;19;24;37;25;33;15;22;16;15;41;13
27;Сахарова Светлана Николаевна;1980.0;135;160;118;113;145;159;180;152;181;138;67;102;177;153
28;Смирнов Андрей Павлович;1971.0;132;160;123;95;148;155;176;149;172;141;64;104;181;171
29;Фрадкин Евгений Станиславович;568.0;39;30;39;38;36;54;46;50;35;57;37;33;40;34
30;Хакимов Алексей Игоревич;644.0;28;43;81;37;33;79;47;45;31;46;40;32;66;36
