;name;overall;УИК №2797;УИК №2798;УИК №2805;УИК №2808;УИК №2809;УИК №2810;УИК №2811;УИК №2812;УИК №2813;УИК №2814;УИК №2815;УИК №2816;УИК №2817;УИК №2818;УИК №3423
14;Богданов Александр Владимирович;458.0;34;22;23;39;39;33;34;22;26;33;27;32;27;34;33
15;Васюков Дмитрий Викторович;604.0;33;33;26;52;52;44;51;40;53;39;26;35;35;49;36
16;Верхович Валерий Степанович;2142.0;78;338;136;138;189;131;52;126;169;226;101;85;116;137;120
17;Власов Дмитрий Юрьевич;1939.0;60;252;122;108;145;114;51;113;217;281;89;73;103;107;104
18;Гришин Сергей Михайлович;465.0;33;33;32;35;41;27;34;27;28;34;24;34;23;35;25
19;Денисов Евгений Григорьевич;963.0;49;68;84;81;79;63;37;77;47;55;68;37;54;82;82
20;Желтов Николай Юрьевич;1564.0;54;252;99;99;127;90;46;87;145;154;66;57;103;93;92
21;Зотов Виктор Михайлович;202.0;7;10;12;17;13;11;9;10;15;47;11;9;13;8;10
22;Ивашенцев Алексей Вячеславович;814.0;36;26;21;49;38;53;280;50;42;32;33;35;40;41;38
23;Казакова Наталья Викторовна;620.0;39;36;52;49;56;26;54;37;30;36;31;58;52;43;21
24;Каландаров Камилжан Хамутович;190.0;10;10;14;9;19;14;15;11;12;12;11;17;11;10;15
25;Калинин Владислав Павлович;311.0;15;47;19;29;24;10;17;20;18;20;13;17;25;19;18
26;Кравченко Дмитрий Игоревич;390.0;26;23;22;35;29;35;26;27;33;15;41;17;20;23;18
27;Крюков Никита Борисович;219.0;19;25;12;29;14;20;12;8;11;12;12;10;8;5;22
28;Лисун Любовь Николаевна;270.0;12;17;16;17;19;19;72;13;6;12;9;14;12;16;16
29;Мустафина Светлана Николаевна;1695.0;60;249;111;101;152;103;30;92;155;201;71;68;102;105;95
30;Покровская Наталия Алексеевна;542.0;27;30;48;39;46;27;52;31;35;28;34;58;39;37;11
31;Рудковский Андрей Андреевич;238.0;20;19;15;26;16;14;16;9;17;6;12;13;14;14;27
32;Рузаков Юрий Евгеньевич;430.0;28;30;32;28;40;33;35;21;13;18;26;30;28;36;32
33;Сидоренко Светлана Александровна;205.0;11;9;14;15;16;16;7;16;11;18;21;15;14;13;9
34;Созинов Александр Васильевич;365.0;19;20;17;37;26;23;24;27;23;14;40;23;22;29;21
35;Солодуха Ева Григорьевна;1845.0;70;247;145;125;144;114;53;110;160;206;81;73;107;106;104
36;Сяткин Николай Сергеевич;347.0;14;22;19;32;30;28;27;25;29;10;18;18;23;32;20
