;parameter;overall;УИК №3291;УИК №3292;УИК №3293;УИК №3294;УИК №3295;УИК №3296;УИК №3297;УИК №3298
1;Число избирателей, внесенных в список;11321.0;1420;1278;1285;1585;1371;1668;1307;1407
2;Число бюллетеней, полученных участковой комиссией;8400.0;1000;1000;1000;1200;1000;1200;1000;1000
3;Число бюллетеней, выданных избирателям в помещении для голосования;1734.0;182;245;217;217;224;257;182;210
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;29.0;2;5;2;9;2;3;0;6
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;182.0;16;28;25;14;17;30;27;25
6;Число погашенных бюллетеней;6484.0;802;727;758;969;759;913;791;765
7;Число бюллетеней в переносных ящиках для голосования;182.0;16;28;25;14;17;30;27;25
8;Число бюллетеней в стационарных ящиках для голосования;1763.0;184;250;219;226;226;260;182;216
9;Число недействительных бюллетеней;88.0;1;29;8;8;10;12;7;13
10;Число действительных бюллетеней;1857.0;199;249;236;232;233;278;202;228
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0
